url,currency,price,price_unit_scale,title,address,facilities,k. tidur,k. mandi,l. tanah,l. bangunan,tipe properti,sertifikat,daya listrik,kt. pembantu,km. pembantu,garasi,jumlah lantai,tahun dibangun,kondisi properti,kondisi perabotan,hadap,id iklan,carport,bedrooms,bathrooms,land size,building size,certificate,electricity,floors,property condition,building orientation,carports,maid bedrooms,maid bathrooms,garages,building age,furnishing
https://www.rumah123.com/properti/jakarta-barat/hos10939113/#qid~80b5c630-56bd-4de6-9029-b194221be838,Rp,"5,5",Miliar,Rumah Intercon Kebon Jeruk Semi Furnished siap huni uk. 8x18,"Intercon, Jakarta Barat","Jalur Telepon, Ac,  Keamanan",4,3,144 m²,250 m²,rumah,shm - sertifikat hak milik,7700 mah,1,1,,2,2015,bagus sekali,semi furnished,barat daya,hos10939113,2,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/jakarta-pusat/hos11316341/#qid~80b5c630-56bd-4de6-9029-b194221be838,Rp,17,Miliar,Rumah bagus 3 lantai di petojo jakarta pusat,"Petojo, Jakarta Pusat","Taman, AC, Ac, Kitchen Set",4,4,303 m²,500 m²,rumah,shm - sertifikat hak milik,,1,1,,3,2015,bagus,semi furnished,,hos11316341,,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/jakarta-barat/hos10450914/#qid~80b5c630-56bd-4de6-9029-b194221be838,Rp,"3,8",Miliar,Green Garden Rumah Lama Perlu Renovasi,"Green garden, Jakarta Barat","Taman, Keamanan",,,,,rumah,,,,,,,,,,,hos10450914,,4,3,220 m²,250 m²,,2200 mah,2,butuh renovasi,barat,1,1,1,1,2002,unfurnished
https://www.rumah123.com/properti/jakarta-barat/hos10400061/#qid~80b5c630-56bd-4de6-9029-b194221be838,Rp,"1,5",Miliar,Duri Kepa Rumah Minimalis Dekat ke Jalan Panjang,"Duri Kepa, Jakarta Barat",Ac,4,3,42 m²,120 m²,rumah,shm - sertifikat hak milik,5500 mah,,,,3,2019,bagus,furnished,selatan,hos10400061,1,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/jakarta-barat/hos11006137/#qid~80b5c630-56bd-4de6-9029-b194221be838,Rp,"3,48",Miliar,Sunrise Rumah Baru Dalam Cluster Hadap Timur,"Sunrise Garden, Jakarta Barat",Taman,4,3,144 m²,200 m²,rumah,shm - sertifikat hak milik,3500 mah,1,1,1,2,2019,baru,unfurnished,timur,hos11006137,1,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/jakarta-barat/hos10497944/#qid~80b5c630-56bd-4de6-9029-b194221be838,Rp,"2,5",Miliar,Taman Ratu Rumah Minimalis Lingkungan Tenang,"Taman Ratu, Jakarta Barat","Ac, Keamanan",3,2,150 m²,146 m²,rumah,shm - sertifikat hak milik,4400 mah,1,,1,2,2016,bagus,furnished,utara,hos10497944,1,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/jakarta-selatan/hos11301918/#qid~e807a850-b387-45a2-8360-ff362755cef0,Rp,14,Miliar,Rumah baru modern classic di bangka kemang,"Kemang, Jakarta Selatan","Taman,  Taman, Ac, Kolam Renang, AC",,,,,rumah,,,,,,,,,,,hos11301918,,4,5,260 m²,450 m²,shm - sertifikat hak milik,,3,baru,,1,1,1,2,,furnished
https://www.rumah123.com/properti/jakarta-pusat/hos10878569/#qid~e807a850-b387-45a2-8360-ff362755cef0,Rp,45,Miliar,"Termurah, rumah 2 lantai di menteng lokasi prime area","Menteng, Jakarta Pusat","Taman,  Taman, Ac, Kolam Renang, AC",7,8,733 m²,548 m²,rumah,shm - sertifikat hak milik,13900 mah,2,1,4,2,2011,bagus sekali,unfurnished,,hos10878569,2,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/jakarta-selatan/hos11325724/#qid~e807a850-b387-45a2-8360-ff362755cef0,Rp,"13,7",Miliar,Rumah Modern Tropical Dekat Gandaria Dan Pondok Indah,"Gandaria, Jakarta Selatan","Taman, AC, Ac",4,3,504 m²,264 m²,rumah,shm - sertifikat hak milik,7700 mah,2,1,,2,,bagus,unfurnished,,hos11325724,,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/jakarta-selatan/hos9314446/#qid~e807a850-b387-45a2-8360-ff362755cef0,Rp,27,Miliar,RUMAH EX SALON TEPI JALAN  RAYA PEJATEN EX USAHA KECANTIKAN DAN KESEHATAN HARGA DIBAWAH PASAR TERKINI DIPEJATEN BARAT RAYA KEMANG LOKASI STRATEGIS JAKARTA SELATAN,"Pejaten, Jakarta Selatan","CCTV, Masjid, Keamanan 24 jam,  Keamanan",20,20,1195 m²,950 m²,rumah,shm - sertifikat hak milik,6600 mah,,,,2,2009,,,utara,hos9314446,14,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/jakarta-selatan/hos11348093/#qid~e807a850-b387-45a2-8360-ff362755cef0,Rp,"5,25",Miliar,Rumah Termurah Hitung Tanah Dalam Komplek Dekat MRT Lebak Bulus,"Lebak Bulus, Jakarta Selatan","Taman, Jogging Track,  Keamanan, Track Lari, Pemanas Air, Tempat Jemuran",4,2,350 m²,190 m²,rumah,shm - sertifikat hak milik,3500 mah,2,1,1,2,1998,bagus,semi furnished,timur,hos11348093,3,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/jakarta-timur/hos11238558/#qid~e807a850-b387-45a2-8360-ff362755cef0,Rp,565,Juta,Rumah Pinang Ranti Mansion Letak Strategis Makasar Jakarta Timurr,"Pinang Ranti, Jakarta Timur","Taman, Keamanan 24 jam, Wastafel,  One Gate System, Track Lari, Tempat Jemuran",2,1,32 m²,38 m²,rumah,shm - sertifikat hak milik,1300 mah,,,1,2,2022,baru,unfurnished,selatan,hos11238558,1,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/jakarta-barat/hos11351016/#qid~e807a850-b387-45a2-8360-ff362755cef0,Rp,"3,2",Miliar,Meruya Ilir Ukuran 10x15 Dkt Kebon Jeruk Rumah Bagus Depan Taman Bagus,"Taman Meruya, Jakarta Barat","Taman, Keamanan 24 jam, Akses Parkir,  Taman,  One Gate System, Track Lari, Tempat Jemuran",6,4,150 m²,200 m²,rumah,shm - sertifikat hak milik,2200 mah,,,,2,,bagus,,,hos11351016,3,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/jakarta-utara/hos11349686/#qid~e807a850-b387-45a2-8360-ff362755cef0,Rp,11,Miliar,Rumah di Jalan kelapa gading 2 Lantai Bagus Lux,"Kelapa Gading, Jakarta Utara","Taman, Kitchen Set, Ac, AC,  Keamanan, Track Lari, Tempat Jemuran,  Jogging Track",4,3,390 m²,750 m²,rumah,shm - sertifikat hak milik,7600 mah,1,1,1,2,2012,bagus,semi furnished,selatan,hos11349686,1,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/jakarta-barat/hos11347068/#qid~e807a850-b387-45a2-8360-ff362755cef0,Rp,"4,5",Miliar,Rumah Permata Buana Pulau Matahari,"Permata Buana, Jakarta Barat","Keamanan 24 jam, One Gate System, Jogging Track, Track Lari, Tempat Jemuran, Keamanan",5,3,144 m²,250 m²,rumah,shm - sertifikat hak milik,4400 mah,1,1,,2,2010,butuh renovasi,unfurnished,selatan,hos11347068,2,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/jakarta-selatan/hos2516822/#qid~e807a850-b387-45a2-8360-ff362755cef0,Rp,"4,8",Miliar,Rumah bagus siap huni lingkungan yang asri bersih dalam cluster Bintaro sektor 9,"Bintaro, Jakarta Selatan","Taman,  Keamanan, Jalur Telepon,  Ac",5,3,300 m²,400 m²,rumah,shm - sertifikat hak milik,5500 mah,1,1,2,2,2010,bagus,semi furnished,utara,hos2516822,2,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/jakarta-utara/hos10695821/#qid~e807a850-b387-45a2-8360-ff362755cef0,Rp,"5,6",Miliar,Rumah Tua Murah Hitung Tanah Lepas Cepat Janur Elok Kelapa Gading,"Kelapa Gading, Jakarta Utara","Taman, Keamanan",3,2,220 m²,225 m²,rumah,shm - sertifikat hak milik,7700 mah,,,,2,2000,butuh renovasi,unfurnished,timur laut,hos10695821,1,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/jakarta-timur/hos11302864/#qid~e807a850-b387-45a2-8360-ff362755cef0,Rp,2,Miliar,Rumah Murah 2 Lt Jual Cepat di Bawah Pasaran Cluster Yara Jgc,"Cakung, Jakarta Timur","Taman,  Kolam Renang, Akses Parkir, Keamanan 24 jam,  Taman, Kitchen Set,  Playground, Wastafel,  One Gate System, Tempat Jemuran",3,2,105 m²,105 m²,rumah,"lainnya (ppjb,girik,adat,dll)",5500 mah,1,1,,2,2017,baru,unfurnished,timur,hos11302864,1,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/jakarta-selatan/hos4804446/#qid~e807a850-b387-45a2-8360-ff362755cef0,Rp,"3,95",Miliar,"RUMAH BAGUS DEKAT KAMPUS TRISAKTI TNH KUSIR, Tanah Kusir,.","Tanah Kusir, Jakarta Selatan","Ac, Keamanan",4,3,208 m²,250 m²,rumah,shm - sertifikat hak milik,3300 mah,1,1,,2,2014,bagus,unfurnished,,hos4804446,,,,,,,,,,,,,,,,
