url,currency,price,price_unit_scale,title,address,facilities,k. tidur,k. mandi,l. tanah,l. bangunan,tipe properti,sertifikat,daya listrik,jumlah lantai,id iklan,kt. pembantu,km. pembantu,tahun dibangun,kondisi properti,carport,garasi,kondisi perabotan,hadap,bedrooms,bathrooms,land size,building size,carports,certificate,electricity,maid bedrooms,maid bathrooms,garages,floors,property condition,furnishing,building orientation
https://www.rumah123.com/properti/jakarta-selatan/hos11187035/#qid~1f9919b6-2578-4678-aa91-e24953424d5d,Rp,"15,5",Miliar,Kemang Ampera Rumah Cantik 1 Lantai Harga Dibawah Njop,"Ampera, Jakarta Selatan","Kolam Renang, Taman,  Kolam Renang, Keamanan 24 jam,  One Gate System, Akses Parkir",4,4,740 m²,340 m²,rumah,shm - sertifikat hak milik,10600 mah,1,hos11187035,1,1,2001,bagus,2,2,unfurnished,barat,,,,,,,,,,,,,,
https://www.rumah123.com/properti/jakarta-barat/hos11139786/#qid~1f9919b6-2578-4678-aa91-e24953424d5d,Rp,"2,6",Miliar,Dhyana Rumah Uk 5x15m Lokasi Bagus di Komplek Kavling Polri,"Jelambar, Jakarta Barat",Tempat Jemuran,4,3,75 m²,150 m²,rumah,shm - sertifikat hak milik,,1,hos11139786,,,,bagus,,,,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/jakarta-barat/hos11139870/#qid~1f9919b6-2578-4678-aa91-e24953424d5d,Rp,"3,7",Miliar,Dhyana Rumah Uk 7x15m Bangunan Bagus di Komplek Kavling Polri,"Jelambar, Jakarta Barat",Tempat Jemuran,4,4,105 m²,196 m²,rumah,shm - sertifikat hak milik,,3,hos11139870,,,,bagus,,,,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/jakarta-barat/hos11139899/#qid~1f9919b6-2578-4678-aa91-e24953424d5d,Rp,"2,2",Miliar,Dhyana Rumah Fullfurnish Uk 4x16m di Jelambar,"Jelambar, Jakarta Barat",Tempat Jemuran,4,3,64 m²,168 m²,rumah,shm - sertifikat hak milik,,3,hos11139899,,,,bagus,,,furnished,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/jakarta-barat/hos11139844/#qid~1f9919b6-2578-4678-aa91-e24953424d5d,Rp,"2,1",Miliar,Dhyana Rumah 3.5lt Hadap Selatan di Komplek Kavling Polri,"Jelambar, Jakarta Barat",Tempat Jemuran,3,3,50 m²,128 m²,rumah,shm - sertifikat hak milik,,3,hos11139844,,,,baru,,,,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/jakarta-utara/hos10217821/#qid~1f9919b6-2578-4678-aa91-e24953424d5d,Rp,"5,5",Miliar,Dijual Rumah Golf Island Untuk invest Pasti UntungPik Termurah!!!,"Pantai Indah Kapuk, Jakarta Utara","Taman,  Jogging Track,  Keamanan,  Ac,  Kolam Renang, Jalur Telepon, AC,  Jalur Telepon, Track Lari, CCTV",3,3,150 m²,160 m²,rumah,"lainnya (ppjb,girik,adat,dll)",4400 mah,1,hos10217821,1,1,,baru,2,,unfurnished,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/jakarta-utara/hos11139237/#qid~1f9919b6-2578-4678-aa91-e24953424d5d,Rp,18,Miliar,Rumah Mewah Pik Pantai Indah Kapuk,"Pantai Indah Kapuk, Jakarta Utara","Taman, Jalur Telepon, Keamanan 24 jam,  One Gate System,  Playground, Tempat Jemuran,  Taman",4,4,360 m²,550 m²,rumah,shm - sertifikat hak milik,11000 mah,3,hos11139237,1,1,,bagus,2,,unfurnished,utara,,,,,,,,,,,,,,
https://www.rumah123.com/properti/jakarta-barat/hos11139210/#qid~1f9919b6-2578-4678-aa91-e24953424d5d,Rp,"4,9",Miliar,Andre Tjhia Rumah Kondisi Bagus di Permata Buana Dkt Puri Indah Nego,"Permata Buana, Jakarta Barat","Tempat Jemuran, Keamanan 24 jam, Taman",3,3,144 m²,220 m²,rumah,shm - sertifikat hak milik,3500 mah,2,hos11139210,1,1,,baru,,,furnished,utara,,,,,,,,,,,,,,
https://www.rumah123.com/properti/jakarta-barat/hos11139194/#qid~1f9919b6-2578-4678-aa91-e24953424d5d,Rp,18,Miliar,Andre Tjhia Puri Indah Rumah Mewah Dan Siap Huni di Jalan Utama Nego,"Puri Indah, Jakarta Barat","Tempat Jemuran, Keamanan 24 jam, Taman",4,3,600 m²,720 m²,rumah,shm - sertifikat hak milik,5500 mah,2,hos11139194,1,1,,baru,,,semi furnished,selatan,,,,,,,,,,,,,,
https://www.rumah123.com/properti/jakarta-utara/hos11139177/#qid~1f9919b6-2578-4678-aa91-e24953424d5d,Rp,"7,5",Miliar,"Axel Termurah Best Price Rumah Katamaran Pantai Indah Kapuk 8x27 2,5 Lantai","Pantai Indah Kapuk, Jakarta Utara","Keamanan 24 jam, Taman, Keamanan",4,4,216 m²,200 m²,rumah,shm - sertifikat hak milik,,2,hos11139177,1,1,,bagus,,,,utara,,,,,,,,,,,,,,
