url,currency,price,price_unit_scale,title,address,facilities,k. tidur,k. mandi,l. tanah,l. bangunan,carport,tipe properti,sertifikat,daya listrik,kt. pembantu,km. pembantu,garasi,jumlah lantai,kondisi properti,kondisi perabotan,id iklan,tahun dibangun,hadap,bedrooms,bathrooms,land size,building size,carports,certificate,electricity,maid bedrooms,maid bathrooms,garages,floors,property condition,furnishing,building age,building orientation
https://www.rumah123.com/properti/jakarta-selatan/hos11325407/#qid~db4a0dd4-d128-4cdc-898f-1d244eba949e,Rp,"21,5",Miliar,Senayan Rumah Mewah Dilokasi Premium Dalam Komplek Dan Private Pool,"Senayan, Jakarta Selatan"," Kolam Renang, Keamanan 24 jam,  Taman,  Pemanas Air, Jalur Telepon,  CCTV, Masjid, Kitchen Set,  AC,  Akses Parkir, Wastafel,  One Gate System, Track Lari, Tempat Jemuran,  Tempat Laundry",4,4,245 m²,268 m²,2,rumah,shm - sertifikat hak milik,23000 mah,2,1,,2,bagus,semi furnished,hos11325407,2015,barat,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/jakarta-pusat/hos11325654/#qid~db4a0dd4-d128-4cdc-898f-1d244eba949e,Rp,43,Miliar,Menteng Dekat Taman Suropati Rumah Lama Terawat Siap Huni,"Menteng, Jakarta Pusat","Keamanan 24 jam,  Pemanas Air,  Taman, Jalur Telepon,  CCTV, Masjid, Kitchen Set,  AC,  Akses Parkir,  Playground, Wastafel, Track Lari, Tempat Jemuran,  Tempat Laundry",5,4,519 m²,470 m²,3,rumah,shm - sertifikat hak milik,23000 mah,2,1,2,2,bagus,semi furnished,hos11325654,1995,timur,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/jakarta-selatan/hos11050865/#qid~db4a0dd4-d128-4cdc-898f-1d244eba949e,Rp,"19,9",Miliar,Rumah di Kemang Jakarta Selatan 950 M2 2 Lantai Kolam Renang SHM,"Kemang, Jakarta Selatan"," Pemanas Air, Akses Parkir, Jalur Telepon,  Track Lari,  Lapangan Bulu Tangkis,  Kitchen Set, Lapangan Tenis,  Tempat Laundry,  Mesin Cuci,  CCTV, Kulkas, Wastafel, Kolam Renang, Lapangan Bola,  Kolam Renang,  Taman,  AC,  Tempat Gym, Tempat Jemuran",4,4,738 m²,950 m²,2,rumah,shm - sertifikat hak milik,3300 mah,3,2,5,2,bagus,unfurnished,hos11050865,1982,selatan,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/jakarta-selatan/hos10680225/#qid~db4a0dd4-d128-4cdc-898f-1d244eba949e,Rp,12,Miliar,Rumah Strategis di Menteng Dalam Tebet,"Tebet, Jakarta Selatan","Taman, Kolam Renang",4,5,401 m²,400 m²,1,rumah,shm - sertifikat hak milik,6600 mah,3,,,2,bagus,,hos10680225,,,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/jakarta-barat/hos10931768/#qid~fc9a4ad1-e935-44fe-b268-bd6f5622829a,Rp,"4,5",Miliar,Rumah Tinggal Terawat  Puri Media  Luas 162 m2,"Puri Media, Jakarta Barat","Taman,  Taman, Jalur Telepon,  Jalur Telepon, Jogging Track, AC,  Ac, Track Lari, Keamanan",4,3,162 m²,200 m²,1,rumah,shm - sertifikat hak milik,4400 mah,1,1,1,2,bagus,semi furnished,hos10931768,2010,timur,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/jakarta-utara/hos10854872/#qid~fc9a4ad1-e935-44fe-b268-bd6f5622829a,Rp,19,Miliar,Rumah Mewah Hoek Perum Bukit Gading Villa Kelapa Gading Jakarta Utara,"Kelapa Gading, Jakarta Utara","Taman, Keamanan, Keamanan 24 jam",4,4,513 m²,800 m²,2,rumah,shm - sertifikat hak milik,,1,1,,3,bagus,unfurnished,hos10854872,,tenggara,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/jakarta-utara/hos11021047/#qid~fc9a4ad1-e935-44fe-b268-bd6f5622829a,Rp,"4,7",Miliar,"Rumah Pluit Hitung Tanah, Luas 200m2, Jalanan Lebar","Pluit, Jakarta Utara","Taman, Keamanan",,,,,,rumah,,,,,,,,,hos11021047,,,3,3,200 m²,150 m²,2,shm - sertifikat hak milik,3500 mah,1,1,,1,sudah renovasi,unfurnished,2005,utara
https://www.rumah123.com/properti/jakarta-selatan/hos7473889/#qid~fc9a4ad1-e935-44fe-b268-bd6f5622829a,Rp,"45,1",Miliar,HARGA TERBAIK DI AMPERA COCOK BUAT INVESTASI HITUNG TANAH,"Ampera, Jakarta Selatan"," Pemanas Air, Akses Parkir, Jalur Telepon,  Jalur Telepon, Ac, Track Lari,  Kitchen Set,  Mesin Cuci,  CCTV, Kulkas,  One Gate System, Wastafel, CCTV,  Jogging Track,  Kolam Renang, Keamanan 24 jam,  Taman,  AC,  Keamanan, Tempat Jemuran",12,12,3475 m²,1440 m²,6,rumah,shm - sertifikat hak milik,33000 mah,6,3,6,1,bagus,semi furnished,hos7473889,2008,timur,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/jakarta-selatan/hos11305182/#qid~fc9a4ad1-e935-44fe-b268-bd6f5622829a,Rp,25,Miliar,Di  Rumah Bagus Di Kemang,"Kemang, Jakarta Selatan","Akses Parkir,  Taman, Jalur Telepon, Tempat Jemuran,  Kolam Ikan",3,3,980 m²,500 m²,1,rumah,shm - sertifikat hak milik,,2,,2,1,bagus,semi furnished,hos11305182,,,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/jakarta-barat/hos11286606/#qid~fc9a4ad1-e935-44fe-b268-bd6f5622829a,Rp,11,Miliar,"Dijual Rumah Mewah Sangat Terawat di Mangga Besar Raya, Any","Mangga Besar, Jakarta Barat","Taman, Keamanan 24 jam,  Pemanas Air,  Mesin Cuci,  CCTV, Kulkas,  AC, Wastafel, Tempat Jemuran,  Kitchen Set",6,6,255 m²,585 m²,1,rumah,shm - sertifikat hak milik,11000 mah,1,,,3,bagus,furnished,hos11286606,,barat laut,,,,,,,,,,,,,,,
