url,currency,price,price_unit_scale,title,address,facilities,k. tidur,k. mandi,l. tanah,l. bangunan,carport,tipe properti,sertifikat,daya listrik,kt. pembantu,km. pembantu,garasi,jumlah lantai,kondisi properti,kondisi perabotan,hadap,id iklan,tahun dibangun,bedrooms,bathrooms,land size,building size,carports,certificate,maid bedrooms,maid bathrooms,garages,floors,property condition,furnishing,building orientation,electricity,building age
https://www.rumah123.com/properti/jakarta-utara/hos11033582/#qid~10bfcda7-c73d-4bf5-837d-742d2b6a808f,Rp,"5,9",Miliar,Rumah Bagus Kelapa Gading Dekat Mall Kelapa Gading,"Kelapa Gading, Jakarta Utara","Taman, Ac",4,3,180 m²,240 m²,1,rumah,shm - sertifikat hak milik,7700 mah,,,,2,bagus,unfurnished,,hos11033582,2019,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/jakarta-timur/hos11045976/#qid~10bfcda7-c73d-4bf5-837d-742d2b6a808f,Rp,"1,1",Miliar,rumah mewah baru di jakarta,"Pulo Gadung, Jakarta Timur","CCTV, Keamanan",2,2,39 m²,56 m²,,rumah,shm - sertifikat hak milik,2200 mah,,,,1,baru,unfurnished,barat,hos11045976,,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/jakarta-selatan/hos11058328/#qid~10bfcda7-c73d-4bf5-837d-742d2b6a808f,Rp,25,Miliar,Rumah Baru American Classic Semi Furnished Di Senopati Jaksel,"Senopati, Jakarta Selatan","Taman,  CCTV,  Jalur Telepon, Kolam Renang,  Keamanan,  Ac",4,4,200 m²,500 m²,2,rumah,shm - sertifikat hak milik,16500 mah,2,1,2,3,baru,semi furnished,selatan,hos11058328,2022,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/jakarta-selatan/hos10396226/#qid~10bfcda7-c73d-4bf5-837d-742d2b6a808f,Rp,35,Miliar,Rumah Akar Pohon Kemang Jakarta Selatan,"Kemang, Jakarta Selatan","AC, Ac",5,5,886 m²,1200 m²,10,rumah,shm - sertifikat hak milik,41500 mah,,,,3,bagus,furnished,,hos10396226,,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/jakarta-utara/hos11066385/#qid~10bfcda7-c73d-4bf5-837d-742d2b6a808f,Rp,"4,7",Miliar,Rumah Pik Bgm 8 x 15 Siap Huni Semi furnish,"Pantai Indah Kapuk, Jakarta Utara","Ac, Keamanan",3,3,120 m²,150 m²,2,rumah,shm - sertifikat hak milik,4400 mah,1,1,,2,bagus,semi furnished,,hos11066385,2015,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/jakarta-barat/hos10631166/#qid~10bfcda7-c73d-4bf5-837d-742d2b6a808f,Rp,"3,2",Miliar,Rumah Green Lake City 8x16,"Green Lake City, Jakarta Barat"," Kolam Renang, Taman, AC,  Jalur Telepon",3,4,128 m²,156 m²,,rumah,shm - sertifikat hak milik,4400 mah,1,1,,2,bagus sekali,unfurnished,,hos10631166,,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/jakarta-barat/hos11065689/#qid~10bfcda7-c73d-4bf5-837d-742d2b6a808f,Rp,869,Juta,rumah mewah modern dijakarta,"Kebon Jeruk, Jakarta Barat","CCTV, Keamanan",2,2,32 m²,62 m²,,rumah,shm - sertifikat hak milik,2200 mah,,,,2,baru,unfurnished,timur,hos11065689,,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/jakarta-barat/hos10935521/#qid~10bfcda7-c73d-4bf5-837d-742d2b6a808f,Rp,"2,2",Miliar,"Rumah Bagus Furnished 2 Lantai, Shm, di Green Lake City","Green Lake City, Jakarta Barat"," Kolam Renang, Taman,  Jalur Telepon, AC,  Keamanan,  Jogging Track",3,2,90 m²,100 m²,,rumah,shm - sertifikat hak milik,4400 mah,1,1,,2,bagus sekali,furnished,,hos10935521,,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/jakarta-pusat/hos11065474/#qid~10bfcda7-c73d-4bf5-837d-742d2b6a808f,Rp,477,Juta,Rumah murah modern dijakarta,"Kemayoran, Jakarta Pusat","CCTV, Keamanan",2,2,22 m²,40 m²,,rumah,shm - sertifikat hak milik,2200 mah,,,,2,baru,unfurnished,timur,hos11065474,,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/jakarta-barat/hos8971566/#qid~10bfcda7-c73d-4bf5-837d-742d2b6a808f,Rp,"8,5",Miliar,"Rumah 2lnt SIAP HUNI Jl.Kamboja,Tomang Raya","Tomang, Jakarta Barat"," Taman, Masjid,  Jalur Telepon, Ac,  Keamanan",4,4,346 m²,300 m²,1,rumah,shm - sertifikat hak milik,4400 mah,1,1,,2,bagus,semi furnished,timur,hos8971566,2016,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/jakarta-utara/hos10990873/#qid~ee7b0714-b8af-457d-8e16-f025e4b2e8e5,Rp,25,Miliar,Rumah Pik Brandnew Minimalis Lift Kolam Renang,"Pantai Indah Kapuk, Jakarta Utara"," Jogging Track, Kolam Renang, Jalur Telepon,  Keamanan",5,4,300 m²,500 m²,2,rumah,shm - sertifikat hak milik,5500 mah,,,2,1,bagus,,,hos10990873,,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/jakarta-utara/hos11246635/#qid~ee7b0714-b8af-457d-8e16-f025e4b2e8e5,Rp,"22,5",Miliar,Rumah Brand New Pantai Mutiara 560m2 Full Marmer,"Pantai Mutiara, Jakarta Utara","Keamanan 24 jam,  Kolam Renang,  Taman, Jalur Telepon,  CCTV, Masjid,  Akses Parkir,  One Gate System, Tempat Jemuran",4,4,560 m²,1200 m²,4,rumah,shm - sertifikat hak milik,11000 mah,1,1,4,1,bagus,,selatan,hos11246635,,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/jakarta-utara/hos11279294/#qid~ee7b0714-b8af-457d-8e16-f025e4b2e8e5,Rp,10,Miliar,Dijual Rumah Medit Boulevard Pik Mewah Pantai Indah Kapuk,"Pantai Indah Kapuk, Jakarta Utara"," Kolam Renang, Keamanan 24 jam,  Taman, Jalur Telepon,  CCTV, Masjid,  Akses Parkir,  One Gate System, Tempat Jemuran",5,5,270 m²,270 m²,,rumah,shm - sertifikat hak milik,13200 mah,,,,1,bagus,,timur,hos11279294,,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/jakarta-timur/hos8169216/#qid~ee7b0714-b8af-457d-8e16-f025e4b2e8e5,Rp,782,Juta,Rumah  Murah di cipinang muara Jakarta timur,"Jatinegara, Jakarta Timur","Taman, Keamanan",2,2,33 m²,68 m²,1,rumah,shm - sertifikat hak milik,2200 mah,,,,2,baru,unfurnished,selatan,hos8169216,2022,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/jakarta-timur/hos11335881/#qid~ee7b0714-b8af-457d-8e16-f025e4b2e8e5,Rp,"1,4",Miliar,"Rumah Bernuasan Eropa Di Jakarta Timur Dengan Sky Balcony 1,4m An","Cakung, Jakarta Timur","Keamanan 24 jam,  Taman, Akses Parkir, Jalur Telepon,  CCTV,  Playground, Wastafel,  One Gate System, Track Lari, Tempat Jemuran",3,2,77 m²,88 m²,1,rumah,hgb - hak guna bangunan,2200 mah,,,,3,baru,unfurnished,,hos11335881,2022,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/jakarta-barat/hos11058909/#qid~ee7b0714-b8af-457d-8e16-f025e4b2e8e5,Rp,"1,88",Miliar,Rumah Baru 5x16 Di Meruya Utara Lokasi Bagus 1.88m,"Meruya, Jakarta Barat","Tempat Jemuran, Wastafel",3,3,80 m²,110 m²,2,rumah,shm - sertifikat hak milik,2200 mah,1,1,2,2,baru,,,hos11058909,2022,,,,,,,,,,,,,,,
