url,currency,price,price_unit_scale,title,address,facilities,k. tidur,k. mandi,l. tanah,l. bangunan,carport,tipe properti,sertifikat,daya listrik,garasi,jumlah lantai,tahun dibangun,kondisi properti,kondisi perabotan,hadap,id iklan,kt. pembantu,km. pembantu,bedrooms,bathrooms,land size,building size,certificate,electricity,floors,building age,property condition,carports,garages,furnishing,building orientation,maid bedrooms,maid bathrooms
https://www.rumah123.com/properti/bogor/hos11087564/#qid~17ccf055-4c56-47e7-a99f-e5a903ae1ca7,Rp,"1,1",Miliar,Rumah Bagus 2 Lantai Cluster Victoria Sentul City,"Sentul City, Bogor","Jalur Telepon, Keamanan 24 jam, One Gate System",4,3,90 m²,120 m²,,rumah,hgb - hak guna bangunan,2200 mah,,2,2014,bagus,unfurnished,,hos11087564,,,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/bogor/hos11087351/#qid~17ccf055-4c56-47e7-a99f-e5a903ae1ca7,Rp,389,Juta,Take Over Rumah Mewah Spek Premium dekat Mall & LRT Cibubur,"Kranggan, Bogor"," Jalur Telepon,  Jogging Track,  Taman,  CCTV, Ac,  Masjid, Keamanan",3,3,110 m²,161 m²,2,rumah,shm - sertifikat hak milik,2200 mah,,2,2021,baru,semi furnished,barat,hos11087351,1,,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/bogor/hos11087345/#qid~17ccf055-4c56-47e7-a99f-e5a903ae1ca7,Rp,590,Juta,rumah murah angsuran terjangkau di jantung kota cibinong,"Cibinong, Bogor"," Jalur Telepon, Ac,  Keamanan, Taman",2,1,72 m²,45 m²,1,rumah,shm - sertifikat hak milik,1300 mah,1,1,2022,baru,unfurnished,timur,hos11087345,,,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/bogor/hos11087147/#qid~17ccf055-4c56-47e7-a99f-e5a903ae1ca7,Rp,"1,15",Miliar,"Rumah 2 Lantai Bagus Semi Furnished SHM di Sentul City, Bogor","Sentul City, Bogor","Playground, Kolam Ikan, Keamanan 24 jam, Wastafel, AC",3,2,90 m²,150 m²,1,rumah,shm - sertifikat hak milik,5500 mah,,2,2016,bagus,semi furnished,,hos11087147,,,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/bogor/hos11087141/#qid~17ccf055-4c56-47e7-a99f-e5a903ae1ca7,Rp,725,Juta,Di jual rumah murah 2 lantai sentul city,"Sentul City, Bogor","Taman,  Keamanan, AC",5,4,120 m²,150 m²,,rumah,shm - sertifikat hak milik,1300 mah,,2,2015,butuh renovasi,unfurnished,utara,hos11087141,,,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/bogor/hos11086966/#qid~17ccf055-4c56-47e7-a99f-e5a903ae1ca7,Rp,2,Miliar,"Dijual cepat rumah bagus di perumahan kota wisata, lokasi strategis.","Cibubur, Bogor"," Jalur Telepon,  Ac,  Kolam Renang, Masjid,  Taman, Jogging Track,  Keamanan",3,3,120 m²,160 m²,1,rumah,shm - sertifikat hak milik,2200 mah,,2,2020,sudah renovasi,semi furnished,barat daya,hos11086966,1,1,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/bogor/hos11086737/#qid~17ccf055-4c56-47e7-a99f-e5a903ae1ca7,Rp,4,Miliar,Rumah pusat kota bogor dekat istana dan kebun raya bogor,"Taman Kencana, Bogor"," Jalur Telepon,  Ac,  Jogging Track, Masjid,  Taman,  CCTV, Keamanan",4,4,636 m²,350 m²,1,rumah,shm - sertifikat hak milik,8000 mah,1,2,2000,bagus,semi furnished,timur,hos11086737,,1,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/bogor/hos11081297/#qid~17ccf055-4c56-47e7-a99f-e5a903ae1ca7,Rp,"3,8",Miliar,Rumah Bagus Plus Kolam Renang Siap Huni Sentul City,"Sentul City, Bogor","Tempat Jemuran,  Kolam Renang,  AC, Keamanan 24 jam,  Taman, Kulkas, Wastafel, One Gate System,  Pemanas Air, Jalur Telepon,  Kitchen Set",4,3,287 m²,250 m²,1,rumah,shm - sertifikat hak milik,3500 mah,1,2,2014,bagus,furnished,,hos11081297,1,1,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/bogor/hos11082106/#qid~17ccf055-4c56-47e7-a99f-e5a903ae1ca7,Rp,"16,5",Miliar,Rumah Atau Perkantoran View Gunung Sentul City,"Sentul City, Bogor","Jalur Telepon, Keamanan 24 jam, Wastafel, One Gate System",,8,2916 m²,400 m²,6,rumah,"lainnya (ppjb,girik,adat,dll)",3500 mah,4,3,2014,bagus,unfurnished,,hos11082106,3,1,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/bogor/hos11081827/#qid~17ccf055-4c56-47e7-a99f-e5a903ae1ca7,Rp,"15,5",Miliar,Rumah Bagus View Golf Dan Gunung Siap Huni Sentul City,"Sentul City, Bogor","Keamanan 24 jam, Kolam Renang,  Taman, Wastafel, One Gate System, AC, Jalur Telepon",3,3,1156 m²,500 m²,,rumah,hgb - hak guna bangunan,4400 mah,3,2,2015,bagus,unfurnished,,hos11081827,1,1,,,,,,,,,,,,,,,
