url,currency,price,price_unit_scale,title,address,facilities,k. tidur,k. mandi,l. tanah,l. bangunan,tipe properti,sertifikat,daya listrik,km. pembantu,jumlah lantai,tahun dibangun,kondisi properti,kondisi perabotan,id iklan,carport,hadap,garasi,kt. pembantu,bedrooms,bathrooms,land size,building size,carports,certificate,electricity,maid bedrooms,maid bathrooms,floors,building age,property condition,building orientation,garages,furnishing
https://www.rumah123.com/properti/bekasi/hos11208968/#qid~f9b697ad-ef6f-408c-81ae-ab822352c42a,Rp,300,Juta,Rumah murah di bekasi kebalen vgh babelan!!,"Kebalen, Bekasi"," Jogging Track, Track Lari, Masjid, Keamanan 24 jam,  Taman,  Masjid, CCTV, Jalur Telepon,  Keamanan",2,1,60 m²,36 m²,rumah,shm - sertifikat hak milik,1300 mah,,1,2022,baru,unfurnished,hos11208968,1,timur,,,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/bekasi/hos9870540/#qid~f9b697ad-ef6f-408c-81ae-ab822352c42a,Rp,"1,05",Miliar,rumah baru lokasi jatibening strategis model minimalis,"Jatibening, Bekasi"," Jalur Telepon,  Ac,  Jogging Track, Track Lari, Masjid,  Taman,  CCTV, Taman, AC, CCTV, Jalur Telepon, Keamanan",3,2,72 m²,90 m²,rumah,shm - sertifikat hak milik,2200 mah,,2,2022,baru,,hos9870540,1,barat,2,,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/bekasi/hos8607396/#qid~f9b697ad-ef6f-408c-81ae-ab822352c42a,Rp,"1,05",Miliar,Rumah lokasi Cluster syafika Jatibening Caman,"Jatibening, Bekasi"," Jalur Telepon, Tempat Jemuran, Lapangan Tenis, Kitchen Set,  Taman,  CCTV, Ac, AC,  Masjid, CCTV, Jalur Telepon,  Keamanan",3,2,72 m²,90 m²,rumah,shm - sertifikat hak milik,2200 mah,,2,2022,baru,,hos8607396,1,timur,2,,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/bekasi/hos11265580/#qid~f9b697ad-ef6f-408c-81ae-ab822352c42a,Rp,959,Juta,"Rumah 2 lantai Free BPHTB, KPR di Jatiasih Kota Bekasi","Jati Asih, Bekasi","Keamanan, Wastafel, Taman",3,2,96 m²,80 m²,rumah,hgb - hak guna bangunan,2200 mah,,2,2022,baru,,hos11265580,1,utara,,,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/bekasi/hos9802787/#qid~f9b697ad-ef6f-408c-81ae-ab822352c42a,Rp,"1,5",Miliar,Rumah Brand New 2 lantai 7x18 126m type 2KT cluster Adara HI Harapan Indah Bekasi,"Harapan Indah, Bekasi","Keamanan, Taman",2,2,126 m²,80 m²,rumah,hgb - hak guna bangunan,2200 mah,1,2,,bagus,unfurnished,hos9802787,,,,1,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/bekasi/hos10481151/#qid~f9b697ad-ef6f-408c-81ae-ab822352c42a,Rp,"1,21",Miliar,Hunian Eksklusif Dan Strategis Pinggir Jalan Di Bekasi,"Jatisampurna, Bekasi"," Ac,  Kolam Renang,  Taman,  CCTV, Jogging Track,  Masjid, Keamanan",3,3,84 m²,77 m²,rumah,shm - sertifikat hak milik,2200 mah,,1,2022,baru,unfurnished,hos10481151,1,timur,,,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/bekasi/hos11144498/#qid~f9b697ad-ef6f-408c-81ae-ab822352c42a,Rp,365,Juta,Bumi Pandawa Sejahtera Bekasi,"Setu, Bekasi","CCTV, Keamanan, Keamanan 24 jam",2,1,60 m²,36 m²,rumah,shm - sertifikat hak milik,1300 mah,,1,,baru,unfurnished,hos11144498,1,,,,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/bekasi/hos11087556/#qid~f9b697ad-ef6f-408c-81ae-ab822352c42a,Rp,774,Juta,rumah di jati asih Jatiwarna pondok gede kota Bekasi,"Jati Asih, Bekasi","Keamanan, Taman",3,2,70 m²,70 m²,rumah,shm - sertifikat hak milik,2200 mah,,2,2022,baru,,hos11087556,1,utara,,,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/bekasi/hos11085485/#qid~f9b697ad-ef6f-408c-81ae-ab822352c42a,Rp,"4,3",Miliar,Rumah Murah Minimalis Lepas Bu Cluster River Town Grand Wisata,"Grand Wisata, Bekasi","Track Lari,  One Gate System, Akses Parkir, Keamanan 24 jam,  Taman, Taman, AC",4,3,382 m²,350 m²,rumah,shm - sertifikat hak milik,4400 mah,1,2,2015,bagus,unfurnished,hos11085485,2,,,1,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/bekasi/hos10830951/#qid~f9b697ad-ef6f-408c-81ae-ab822352c42a,Rp,"1,25",Miliar,Rumah 2 Lantai Bisa Kpr di Cluster Lavesh Harapan Indah Bekasi,"Harapan Indah, Bekasi",Keamanan,2,2,84 m²,56 m²,rumah,"lainnya (ppjb,girik,adat,dll)",2200 mah,,2,,baru,unfurnished,hos10830951,1,,1,,,,,,,,,,,,,,,,
