url,currency,price,price_unit_scale,title,address,facilities,k. tidur,k. mandi,l. tanah,l. bangunan,carport,tipe properti,sertifikat,daya listrik,jumlah lantai,tahun dibangun,kondisi properti,kondisi perabotan,hadap,id iklan,bedrooms,bathrooms,land size,building size,carports,certificate,electricity,floors,building age,property condition,furnishing,building orientation,garasi,kt. pembantu,maid bedrooms,km. pembantu,garages,maid bathrooms
https://www.rumah123.com/properti/depok/hos11177509/#qid~c474674f-53f6-4bce-8544-dc04231a551b,Rp,590,Juta,RUMAH MURAH DI EXIT TOLL PAMULANG,"Cinangka, Depok"," Ac,  Jogging Track, Track Lari, Masjid, Keamanan 24 jam,  Taman,  CCTV, Taman, AC,  Masjid, CCTV, Jalur Telepon,  Keamanan",2,1,70 mÂ²,48 mÂ²,1,rumah,shm - sertifikat hak milik,1300 mah,1,2022,baru,unfurnished,timur,hos11177509,,,,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/depok/hos9000046/#qid~c474674f-53f6-4bce-8544-dc04231a551b,Rp,400,Juta,Jual cepat Rumah murah tanah luas di depok,"Citayam, Depok","Masjid, Taman",3,2,203 mÂ²,130 mÂ²,2,rumah,"lainnya (ppjb,girik,adat,dll)",1300 mah,1,,bagus,unfurnished,,hos9000046,,,,,,,,,,,,,2,,,,,
https://www.rumah123.com/properti/depok/hos11142294/#qid~c474674f-53f6-4bce-8544-dc04231a551b,Rp,885,Juta,Rumah 2 Lantai cluster ekslusif dekat tol sawangan,"Pancoran Mas, Depok"," Jalur Telepon,  Jogging Track, Track Lari, Masjid, Keamanan 24 jam,  Taman,  CCTV, Ac, Taman, AC, CCTV, Jalur Telepon,  Keamanan",3,3,54 mÂ²,85 mÂ²,1,rumah,shm - sertifikat hak milik,2200 mah,2,2022,baru,unfurnished,timur,hos11142294,,,,,,,,,,,,,1,,,,,
https://www.rumah123.com/properti/depok/hos7573492/#qid~c474674f-53f6-4bce-8544-dc04231a551b,Rp,"1,1",Miliar,TownHouse Mewah Luas Strategis 3 menit pintu Toll Desari Sawangan Depok 15menit TB Simatupang JakSel,"Rangkapanjaya, Depok","Tempat Jemuran,  One Gate System, Keamanan 24 jam,  Taman, Taman, Wastafel, AC, CCTV, Jalur Telepon, Keamanan",3,4,72 mÂ²,105 mÂ²,1,rumah,shm - sertifikat hak milik,2200 mah,2,2021,bagus,unfurnished,selatan,hos7573492,,,,,,,,,,,,,1,,,,,
https://www.rumah123.com/properti/depok/hos6248893/#qid~c474674f-53f6-4bce-8544-dc04231a551b,Rp,800,Juta,Rumah 2 Lantai Cimanggis Depok Cantik Gaya Bali Akses jalan besar Strategis 10 menit Tol Cijago dan Stasiun Pondok Cina,"Cimanggis, Depok","Tempat Jemuran,  Akses Parkir,  One Gate System, Masjid, Keamanan 24 jam,  Taman,  CCTV, Wastafel, AC,  Masjid, CCTV, Jalur Telepon,  Keamanan",3,2,68 mÂ²,56 mÂ²,2,rumah,shm - sertifikat hak milik,2200 mah,2,2022,bagus,unfurnished,,hos6248893,,,,,,,,,,,,,2,,,,,
https://www.rumah123.com/properti/depok/hos9573556/#qid~c474674f-53f6-4bce-8544-dc04231a551b,Rp,800,Juta,Rumah Cantik Depok Nuansa Bali Dekat Jakarta Selatan Akses 10 Menit ke 2 Pintu Tol,"Sawangan, Depok","Tempat Jemuran,  One Gate System, Keamanan 24 jam,  Taman,  CCTV, Taman, Wastafel, AC,  Masjid, Jalur Telepon,  Keamanan",3,2,68 mÂ²,56 mÂ²,2,rumah,shm - sertifikat hak milik,2200 mah,2,2022,bagus,unfurnished,timur,hos9573556,,,,,,,,,,,,,2,,,,,
https://www.rumah123.com/properti/depok/hos9526667/#qid~c474674f-53f6-4bce-8544-dc04231a551b,Rp,995,Juta,Rumah Mewah Beji Depok Nuansa Scandinavia Strategis Dekat Tol Margonda dan Tol Kukusan Stasiun,"Beji, Depok","Tempat Jemuran,  One Gate System, Keamanan 24 jam,  CCTV, Taman, Wastafel, AC,  Keamanan",3,2,72 mÂ²,75 mÂ²,2,rumah,shm - sertifikat hak milik,2200 mah,2,2022,bagus,unfurnished,timur,hos9526667,,,,,,,,,,,,,2,,,,,
https://www.rumah123.com/properti/depok/hos8962371/#qid~c474674f-53f6-4bce-8544-dc04231a551b,Rp,795,Juta,Termurah Townhouse 2 lantai plus rooftoop Cimanggis Depok dekat Tol Cijago dan stasiun,"Cimanggis, Depok"," Ac, CCTV, Taman,  Keamanan",3,2,60 mÂ²,77 mÂ²,,rumah,shm - sertifikat hak milik,2200 mah,2,2021,bagus sekali,,,hos8962371,,,,,,,,,,,,,1,,,,,
https://www.rumah123.com/properti/depok/hos11139168/#qid~c474674f-53f6-4bce-8544-dc04231a551b,Rp,775,Juta,Rumah 5 menit ke tol sawangan tanah besar,"Pancoran Mas, Depok"," Jalur Telepon,  Ac, AC, Track Lari,  Taman,  CCTV, Taman, Jogging Track,  Masjid, CCTV, Jalur Telepon, Keamanan",3,2,91 mÂ²,75 mÂ²,1,rumah,shm - sertifikat hak milik,2200 mah,1,2022,baru,unfurnished,timur,hos11139168,,,,,,,,,,,,,1,,,,,
https://www.rumah123.com/properti/depok/hos10794588/#qid~c474674f-53f6-4bce-8544-dc04231a551b,Rp,800,Juta,Rumah 2 Lantai Siap Huni SHM di Jatimulya Depok Dekat Gdc Akses Tol Margonda Dan Stasiun Krl Depok,"Cilodong, Depok"," Masjid, Ac,  Keamanan, Taman",3,2,84 mÂ²,71 mÂ²,2,rumah,shm - sertifikat hak milik,2200 mah,2,2022,bagus,unfurnished,,hos10794588,,,,,,,,,,,,,2,,,,,
