url,currency,price,price_unit_scale,title,address,facilities,k. tidur,k. mandi,l. tanah,l. bangunan,carport,tipe properti,sertifikat,daya listrik,jumlah lantai,tahun dibangun,kondisi properti,kondisi perabotan,hadap,id iklan,kt. pembantu,garasi,km. pembantu,bedrooms,bathrooms,land size,building size,carports,certificate,electricity,garages,floors,building age,property condition,furnishing,maid bedrooms,maid bathrooms,building orientation
https://www.rumah123.com/properti/depok/hos11368372/#qid~d0b711ad-e7c0-4366-841c-d589ce2c1a61,Rp,"2,6",Miliar,Rumah Bebas Banjir Dan Asri di Jual Di Raffles Cibubur,"Cibubur, Depok","Tempat Jemuran, Lapangan Tenis,  Akses Parkir,  One Gate System,  Track Lari,  Kolam Renang, Masjid, Keamanan 24 jam,  Lapangan Bulu Tangkis,  Taman,  Tempat Laundry,  CCTV,  Playground, Wastafel,  Tempat Gym, Jalur Telepon, Lapangan Basket",3,2,235 m²,225 m²,,rumah,shm - sertifikat hak milik,2200 mah,1,,bagus,,,hos11368372,,1,,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/depok/hos11368311/#qid~d0b711ad-e7c0-4366-841c-d589ce2c1a61,Rp,995,Juta,"Rumah tanpa DP, harga all in, gratis smarthome, SHM","Sukmajaya, Depok","Tempat Jemuran,  Ac,  Akses Parkir,  One Gate System,  AC, Masjid, Kitchen Set, Keamanan 24 jam,  Taman,  Tempat Laundry,  CCTV, Wastafel, Jalur Telepon,  Keamanan",3,2,72 m²,70 m²,1,rumah,shm - sertifikat hak milik,2200 mah,2,2022,bagus,unfurnished,barat,hos11368311,,1,,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/depok/hos11368350/#qid~4cce2ebc-cf19-4411-bf73-05c877ef7c15,Rp,"1,2",Miliar,"Rumah Canti, Asri Dan Nyaman di Jual Di Raffles Cibubur Depok","Cibubur, Depok","Lapangan Tenis,  Track Lari,  One Gate System,  Kolam Renang, Masjid, Keamanan 24 jam,  Lapangan Bulu Tangkis,  Taman,  Playground, Wastafel,  Tempat Gym, Lapangan Basket",2,2,98 m²,78 m²,2,rumah,shm - sertifikat hak milik,2200 mah,2,,bagus,furnished,utara,hos11368350,1,,1,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/depok/hos11368307/#qid~4cce2ebc-cf19-4411-bf73-05c877ef7c15,Rp,525,Juta,"Rumah modern termurah di kawasan cinere, akses mudah kemana2","Cinere, Depok"," Jalur Telepon,  Jogging Track, Tempat Jemuran, Track Lari,  Taman, Ac, Taman, Wastafel, Lapangan Voli, AC,  Masjid,  Kolam Ikan, Jalur Telepon,  Keamanan",2,1,75 m²,36 m²,1,rumah,shm - sertifikat hak milik,1300 mah,1,2022,baru,unfurnished,selatan,hos11368307,,1,,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/depok/hos11368313/#qid~4cce2ebc-cf19-4411-bf73-05c877ef7c15,Rp,679,Juta,Rumah Modern Free Biaya Akses 2 Mobil Lokasi Pinggir Jalan Kemang,"Cimanggis, Depok"," One Gate System, Masjid, Keamanan 24 jam,  Taman,  CCTV, Taman, CCTV",3,2,57 m²,54 m²,,rumah,shm - sertifikat hak milik,2200 mah,2,2022,bagus,unfurnished,,hos11368313,,,,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/depok/hos11365808/#qid~5d165fc3-c246-4b4f-9ad2-ec378cfc055a,Rp,"1,96",Miliar,Rumah Cimanggis Free Kolam Renang Dekat Transmart Toll & LRT Cibubur,"Cimanggis, Depok"," Carport, Garasi, Private Pool",3,3,163 m²,130 m²,,rumah,shm - sertifikat hak milik,lainnya mah,2,2020,unfurnished,baru,,hos11365808,1,1,1,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/depok/hos11365810/#qid~5d165fc3-c246-4b4f-9ad2-ec378cfc055a,Rp,"1,4",Miliar,Rumah Siap Huni di Beji Depok Skandinavian Dekat 3 Akses TOL Depok,"Beji, Depok","one gate sistem,  Kitchen set,  1 unit AC, securty 24 jam,  Carport 2 mobil",3,3,72 m²,120 m²,,rumah,shm - sertifikat hak milik,lainnya mah,2,2022,unfurnished,baru,,hos11365810,,2,,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/depok/hos11365809/#qid~5d165fc3-c246-4b4f-9ad2-ec378cfc055a,Rp,"2,13",Miliar,Rumah Mewah Gandul Cinere dekat TOL Andara Brigif Depok,"Cinere, Depok",Free kitchen set,3,2,120 m²,91 m²,,rumah,shm - sertifikat hak milik,lainnya mah,2,2022,unfurnished,baru,,hos11365809,,2,,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/depok/hos11365813/#qid~5d165fc3-c246-4b4f-9ad2-ec378cfc055a,Rp,"1,7",Miliar,Rumah Di Beji Depok 5 menit ke TOL Kukusan + dekat Kampus UI,"Beji, Depok",Full kitchen set,3,3,100 m²,120 m²,,rumah,shm - sertifikat hak milik,lainnya mah,2,2022,unfurnished,baru,,hos11365813,1,1,,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/depok/hos11365815/#qid~5d165fc3-c246-4b4f-9ad2-ec378cfc055a,Rp,"1,72",Miliar,Brand New Ready Stok Cluster 3 Lantai Pinggir TOL Krukut Antasari Jaksel Depok,"Limo, Depok"," Dapur bersih dan kotor,  Taman,  Living room, Servis Area,  Basement, Gudang,  Garasi",3,3,84 m²,155 m²,,rumah,shm - sertifikat hak milik,lainnya mah,3,2022,unfurnished,baru,,hos11365815,,4,,,,,,,,,,,,,,,,
