url,currency,price,price_unit_scale,title,address,facilities,k. tidur,k. mandi,l. tanah,l. bangunan,carport,tipe properti,sertifikat,daya listrik,jumlah lantai,tahun dibangun,kondisi properti,id iklan,kt. pembantu,km. pembantu,garasi,kondisi perabotan,hadap,bedrooms,bathrooms,land size,building size,certificate,maid bedrooms,maid bathrooms,floors,building age,property condition,furnishing,carports,electricity,garages,building orientation
https://www.rumah123.com/properti/jakarta-utara/hos10698568/#qid~be1e2b63-d273-4b6f-9196-7b57abf803ed,Rp,12,Miliar,VIEW DANAU ! Rumah Lotus Palace PIK Hadap Timur Uk 8x27,"Pantai Indah Kapuk, Jakarta Utara",Jalur Telepon,3,3,216 m²,528 m²,,rumah,"lainnya (ppjb,girik,adat,dll)",4400 mah,3,,bagus sekali,hos10698568,,,,semi furnished,,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/jakarta-utara/hos11315506/#qid~be1e2b63-d273-4b6f-9196-7b57abf803ed,Rp,"17,5",Miliar,"Rumah Bukit Golf Mediterania 325m2, Pantai Indah Kapik, Pik, Cluster Bagus, Jarang Ada. Harga Nego","Pantai Indah Kapuk, Jakarta Utara","Keamanan 24 jam, Taman,  Taman, Jalur Telepon, Kitchen Set, Wastafel, Tempat Jemuran",,,,,,rumah,,,,,,hos11315506,,,,,,6,4,325 m²,600 m²,shm - sertifikat hak milik,1,1,3,,bagus,semi furnished,,,,utara
https://www.rumah123.com/properti/jakarta-selatan/hos10069468/#qid~be1e2b63-d273-4b6f-9196-7b57abf803ed,Rp,"5,9",Miliar,"Rumah Baru Minimalis  Semi Furnished di Jl. Purnama, Cipete","Cipete, Jakarta Selatan","Taman, Ac",4,3,144 m²,373 m²,1,rumah,shm - sertifikat hak milik,4400 mah,3,2021,baru,hos10069468,2,1,2,semi furnished,tenggara,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/jakarta-selatan/hos8928716/#qid~be1e2b63-d273-4b6f-9196-7b57abf803ed,Rp,"5,9",Miliar,Townhouse Daerah Permata Hijau,"Permata Hijau, Jakarta Selatan","Taman, Ac",,,,,,rumah,,,,,,hos8928716,,,,,,3,3,195 m²,350 m²,,2,1,3,2021,baru,semi furnished,1,4400 mah,4,barat
https://www.rumah123.com/properti/jakarta-utara/hos4558445/#qid~be1e2b63-d273-4b6f-9196-7b57abf803ed,Rp,108,Miliar,Rumah Paling Luas Di Pantai Mutiara 3 Lantai Perlu Finishing,"Pantai Mutiara, Jakarta Utara","Taman, Kolam Renang,  Jogging Track,  Keamanan",7,8,2700 m²,5000 m²,4,rumah,,,3,2009,butuh renovasi,hos4558445,3,2,12,unfurnished,utara,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/jakarta-utara/hos11314135/#qid~be1e2b63-d273-4b6f-9196-7b57abf803ed,Rp,"12,5",Miliar,Dijual Rumah Kuda Laut Hoek TERMURAH!!!,"Pantai Indah Kapuk, Jakarta Utara"," Kolam Renang,  Pemanas Air,  Taman, Jalur Telepon,  Mesin Cuci,  CCTV, Track Lari,  Jalur Telepon, Kulkas,  AC, Jogging Track, Wastafel,  Keamanan,  Ac, CCTV, Tempat Jemuran,  Kitchen Set",,,260 m²,540 m²,,rumah,shm - sertifikat hak milik,5500 mah,3,,sudah renovasi,hos11314135,,,,semi furnished,selatan,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/jakarta-utara/hos11313931/#qid~be1e2b63-d273-4b6f-9196-7b57abf803ed,Rp,"2,35",Miliar,Rumah PIK2 Ukuran 8x10 Brand New Termurah Cluster Danau,"Pantai Indah Kapuk, Jakarta Utara"," Kolam Renang, Keamanan 24 jam,  Taman, Taman, Jogging Track,  Playground, Track Lari, Tempat Jemuran, Keamanan",,,,,,rumah,,,,,,hos11313931,,,,,,3,3,80 m²,98 m²,shm - sertifikat hak milik,1,1,2,2022,baru,unfurnished,2,4400 mah,,
https://www.rumah123.com/properti/jakarta-utara/hos11307689/#qid~be1e2b63-d273-4b6f-9196-7b57abf803ed,Rp,29,Miliar,"Rumah Mewah Pantai Indah Kapuk, Modern, Siap Huni, Bagus","Pantai Indah Kapuk, Jakarta Utara"," Kolam Renang, Keamanan 24 jam,  Taman, Akses Parkir, Jalur Telepon,  CCTV, Kitchen Set,  AC,  Playground, Wastafel, Tempat Gym,  One Gate System, Track Lari, Tempat Jemuran",4,5,520 m²,1000 m²,2,rumah,shm - sertifikat hak milik,16500 mah,3,2016,bagus,hos11307689,2,1,2,semi furnished,,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/jakarta-selatan/hos10546091/#qid~be1e2b63-d273-4b6f-9196-7b57abf803ed,Rp,"1,25",Miliar,Rumah Harga nego Rumah di Srengseng sawah Jagakarsa 2 Lantai SHM,"Jagakarsa, Jakarta Selatan","Taman, Ac,  Keamanan",3,3,77 m²,120 m²,1,rumah,shm - sertifikat hak milik,2200 mah,2,2022,baru,hos10546091,,,1,,,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/jakarta-selatan/hos11027851/#qid~be1e2b63-d273-4b6f-9196-7b57abf803ed,Rp,"5,5",Miliar,Rumah  3lantai plus private poll Harga nego full Bata merah,"Jagakarsa, Jakarta Selatan","Taman,  Taman, Jalur Telepon,  Jalur Telepon, Kolam Renang, AC,  Keamanan,  Ac",5,4,165 m²,300 m²,2,rumah,shm - sertifikat hak milik,3500 mah,3,2022,baru,hos11027851,1,1,3,semi furnished,selatan,,,,,,,,,,,,,,,
