url,currency,price,price_unit_scale,title,address,facilities,k. tidur,k. mandi,l. tanah,l. bangunan,tipe properti,sertifikat,daya listrik,jumlah lantai,kondisi properti,kondisi perabotan,id iklan,carport,kt. pembantu,km. pembantu,garasi,tahun dibangun,hadap,bedrooms,bathrooms,land size,building size,carports,certificate,electricity,garages,floors,property condition,furnishing,maid bedrooms,maid bathrooms,building orientation,building age
https://www.rumah123.com/properti/bogor/hos10260276/#qid~8e47fe0a-b39a-403a-a7bf-46a1f9bf7054,Rp,900,Juta,Rumah Minimalis Strategis Siap Kpr di Serpong Natura City Harga All In Bisa Nego,"Gunung Sindur, Bogor","Taman, Keamanan",2,1,81 m²,45 m²,rumah,shm - sertifikat hak milik,1300 mah,1,sudah renovasi,semi furnished,hos10260276,,,,1,,,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/bogor/hos10023048/#qid~8e47fe0a-b39a-403a-a7bf-46a1f9bf7054,Rp,"2,04",Miliar,Rumah Asri Siap Huni Harga All In Kpr di Bogor Nirwana Residence Bisa Nego,"Bogor Nirwana Residence, Bogor","Taman, Keamanan",4,3,180 m²,120 m²,rumah,shm - sertifikat hak milik,2200 mah,2,bagus,unfurnished,hos10023048,,,,2,,,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/bogor/hos10613247/#qid~8e47fe0a-b39a-403a-a7bf-46a1f9bf7054,Rp,"1,68",Miliar,Rumah Strategis Harga All In Bisa Kpr Di Cibubur Country Bebas Banjir,"Gunung Putri, Bogor","Taman, Keamanan",3,2,200 m²,90 m²,rumah,hgb - hak guna bangunan,2200 mah,1,,unfurnished,hos10613247,,1,,1,,,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/bogor/hos10260294/#qid~8e47fe0a-b39a-403a-a7bf-46a1f9bf7054,Rp,630,Juta,Rumah Minimalis Siap Kpr di Metland Cileungsi Harga All In,"Cileungsi, Bogor","Taman, Keamanan",,,,,rumah,,,,,,hos10260294,,,,,,,2,1,84 m²,70 m²,,shm - sertifikat hak milik,1300 mah,1,1,,unfurnished,,,,
https://www.rumah123.com/properti/bogor/hos11034984/#qid~8e47fe0a-b39a-403a-a7bf-46a1f9bf7054,Rp,960,Juta,Rumah Harga All In di Serpong Natura Dekat Mall Paradise Walk Siap Kpr,"Gunung Sindur, Bogor","Taman, Keamanan",3,2,81 m²,51 m²,rumah,shm - sertifikat hak milik,2200 mah,2,bagus,unfurnished,hos11034984,1,,,,,,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/bogor/hos11168010/#qid~4c2dc1ad-4bf3-4105-8a24-81d73add513b,Rp,"2,04",Miliar,Rumah Dekat Tanah Sareal Harga All In di Danau Bogor Raya Siap Kpr,"Katulampa, Bogor","Taman, Tempat Jemuran, Keamanan 24 jam",3,3,128 m²,200 m²,rumah,shm - sertifikat hak milik,2200 mah,2,bagus,unfurnished,hos11168010,1,1,,,,selatan,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/bogor/hos11035982/#qid~4c2dc1ad-4bf3-4105-8a24-81d73add513b,Rp,599,Juta,Rumah Siap Kpr di Limus Pratama Regency Harga All In Nego,"Cileungsi, Bogor","Taman, Keamanan",,,,,rumah,,,,,,hos11035982,,,,,,,2,1,72 m²,60 m²,1,shm - sertifikat hak milik,1300 mah,,1,bagus,unfurnished,,,barat laut,
https://www.rumah123.com/properti/bogor/hos10490682/#qid~4c2dc1ad-4bf3-4105-8a24-81d73add513b,Rp,810,Juta,Rumah Seken Dekat Bojonggede Di Taman Sukahati Harga All In Nego Siap Kpr,"Bojong Gede, Bogor","Taman, Keamanan",2,1,105 m²,45 m²,rumah,shm - sertifikat hak milik,2200 mah,1,bagus,unfurnished,hos10490682,1,,,1,,,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/bogor/hos10838728/#qid~4c2dc1ad-4bf3-4105-8a24-81d73add513b,Rp,"1,44",Miliar,Rumah Siap Kpr Di Cimanggu Permai Bebas Banjir Harga All In Nego,"Bogor Barat, Bogor","Taman, Keamanan",4,2,198 m²,150 m²,rumah,shm - sertifikat hak milik,2200 mah,2,bagus,unfurnished,hos10838728,1,1,,,,timur,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/bogor/hos10562174/#qid~4c2dc1ad-4bf3-4105-8a24-81d73add513b,Rp,780,Juta,Rumah Bebas Banjir di Laladon Residence Harga All In Nego Siap Kpr,"Bogor Barat, Bogor","Taman, Keamanan",3,2,116 m²,85 m²,rumah,shm - sertifikat hak milik,1300 mah,1,,unfurnished,hos10562174,1,1,,1,,,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/bogor/hos10583623/#qid~4c2dc1ad-4bf3-4105-8a24-81d73add513b,Rp,"1,98",Miliar,Rumah Luas 2 Lantai Area Bogor Barat Harga All In Nego Siap Kpr,"Bogor Barat, Bogor","Taman, Keamanan",6,3,120 m²,155 m²,rumah,shm - sertifikat hak milik,1300 mah,2,bagus,unfurnished,hos10583623,1,,,1,,,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/bogor/hos10138823/#qid~4c2dc1ad-4bf3-4105-8a24-81d73add513b,Rp,630,Juta,Rumah Strategis Siap Kpr Bebas Banjir di Metland Cileungsi,"Cibubur, Bogor","Taman, Keamanan",2,1,84 m²,70 m²,rumah,shm - sertifikat hak milik,1300 mah,1,,unfurnished,hos10138823,1,,,1,,timur,,,,,,,,,,,,,,,
