url,price_in_rp,title,address,district,city,lat,long,facilities,property_type,ads_id,bedrooms,bathrooms,land_size_m2,building_size_m2,carports,certificate,electricity,maid_bedrooms,maid_bathrooms,floors,building_age,year_built,property_condition,building_orientation,garages,furnishing,electricity_num,fac_tempat_jemuran,fac_jalur_telepon,fac_jogging_track,fac_kolam_renang,fac_masjid,fac_keamanan,fac_cctv,fac_kitchen_set,fac_one_gate_system,fac_akses_parkir,fac_playground,fac_wastafel,fac_ac,fac_lapangan_basket,fac_tempat_gym,fac_kolam_ikan,fac_lapangan_voli,fac_lapangan_tenis,fac_lapangan_bola,fac_mesin_cuci,fac_lapangan_bulu_tangkis,fac_kulkas,fac_garden,fac_water_heater,fac_canopy,fac_smart_home,fac_backyard_luas,fac_garasi,fac_balkon,fac_pompa_air_wasser_dan_booster,fac_kompor_exhaust,fac_basement,fac_gudang,fac_clubhouse,fac_service_area,fac_plumbing_system
https://www.rumah123.com/properti/bekasi/hos11360272/#qid~213b5619-a399-47b3-bfcf-faaef6b542d5,2990000000.0,"rumah cantik sumarecon bekasi lingkungan asri, tenang & nyaman","Summarecon Bekasi, Bekasi",Summarecon Bekasi, Bekasi,-6.223945,106.9862751,"['Tempat Jemuran', 'Jalur Telepon', 'Taman', ' Taman']",rumah,hos11360272,4,4,239.0,272.0,0,shm - sertifikat hak milik,4400 mah,0,1,2,5,2017,bagus,,0,unfurnished,4400.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
https://www.rumah123.com/properti/bekasi/hos10680347/#qid~748f5d2d-8d3a-4a4e-a1b4-37c7be7ffc25,1270000000.0,"rumah kekinian, magenta summarecon bekasi","Summarecon Bekasi, Bekasi",Summarecon Bekasi, Bekasi,-6.223945,106.9862751,['Taman'],rumah,hos10680347,3,2,55.0,69.0,1,hgb - hak guna bangunan,2200 mah,0,0,2,,,bagus,,0,,2200.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
https://www.rumah123.com/properti/bekasi/hos10685867/#qid~f6c2cf9d-44fa-4c1a-8749-8ee96b116e93,1950000000.0,rumah cantik 2 lantai cluster bluebell summarecon bekasi,"Summarecon Bekasi, Bekasi",Summarecon Bekasi, Bekasi,-6.223945,106.9862751,"[' Jogging Track', ' Kolam Renang', 'Masjid', ' Taman', 'Jalur Telepon', ' Keamanan']",rumah,hos10685867,3,3,119.0,131.0,1,hgb - hak guna bangunan,2200 mah,1,1,2,,,bagus,,1,unfurnished,2200.0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
https://www.rumah123.com/properti/bekasi/hos10927790/#qid~f6c2cf9d-44fa-4c1a-8749-8ee96b116e93,3300000000.0,rumah mewah 2lantai l10x18 c di cluster vernonia summarecon bekasi..,"Summarecon Bekasi, Bekasi",Summarecon Bekasi, Bekasi,-6.223945,106.9862751,"[' Jalur Telepon', ' Jogging Track', 'Track Lari', ' Kolam Renang', 'Kolam Renang', ' Taman', 'Taman', 'CCTV', 'Jalur Telepon', ' Keamanan']",rumah,hos10927790,3,3,180.0,174.0,0,shm - sertifikat hak milik,3500 mah,1,1,2,6,2016,bagus sekali,utara,2,unfurnished,3500.0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
https://www.rumah123.com/properti/bekasi/hos10785530/#qid~1807f915-9393-4e9c-a6d6-eb3d73117a15,4500000000.0,"rumah hoek di cluster maple summarecon bekasi, bekasi","Summarecon Bekasi, Bekasi",Summarecon Bekasi, Bekasi,-6.223945,106.9862751,"[' Jogging Track', ' Kolam Renang', 'Taman', 'Jalur Telepon', ' Keamanan']",rumah,hos10785530,4,3,328.0,196.0,2,shm - sertifikat hak milik,3500 mah,1,1,2,9,2013,bagus,utara,1,unfurnished,3500.0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
https://www.rumah123.com/properti/bekasi/hos11177142/#qid~1807f915-9393-4e9c-a6d6-eb3d73117a15,2700000000.0,"rumah siap huni di cluster acasia, summarecon bekasi","Summarecon Bekasi, Bekasi",Summarecon Bekasi, Bekasi,-6.223945,106.9862751,"['Jalur Telepon', 'Taman', ' Keamanan', ' Kolam Renang']",rumah,hos11177142,3,3,136.0,200.0,2,shm - sertifikat hak milik,3500 mah,1,1,2,9,2013,bagus,selatan,1,semi furnished,3500.0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
https://www.rumah123.com/properti/bekasi/hos10720117/#qid~35c27ac2-b166-4762-83af-d2178576ef1b,2350000000.0,rumah di cluster maple summarecon bekasi,"Summarecon Bekasi, Bekasi",Summarecon Bekasi, Bekasi,-6.223945,106.9862751,"['Keamanan', 'Kolam Renang']",rumah,hos10720117,2,2,144.0,144.0,1,hgb - hak guna bangunan,4400 mah,0,0,2,,,,utara,1,,4400.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://www.rumah123.com/properti/bekasi/hos10753439/#qid~35c27ac2-b166-4762-83af-d2178576ef1b,4500000000.0,rumah cluster lotus summarecon bekasi,"Summarecon Bekasi, Bekasi",Summarecon Bekasi, Bekasi,-6.223945,106.9862751,"['Keamanan', 'Kolam Renang']",rumah,hos10753439,4,4,216.0,250.0,2,hgb - hak guna bangunan,3500 mah,1,1,2,,,,selatan,1,,3500.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://www.rumah123.com/properti/bekasi/hos11127849/#qid~35c27ac2-b166-4762-83af-d2178576ef1b,2900000000.0,rumah cluster palm summarecon bekasi,"Summarecon Bekasi, Bekasi",Summarecon Bekasi, Bekasi,-6.223945,106.9862751,['Kitchen Set'],rumah,hos11127849,,3,200.0,152.0,2,shm - sertifikat hak milik,4400 mah,3,1,2,,,,selatan,0,semi furnished,4400.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://www.rumah123.com/properti/bekasi/hos11169103/#qid~35c27ac2-b166-4762-83af-d2178576ef1b,2700000000.0,rumah cluster acacia summarecon bekasi,"Summarecon Bekasi, Bekasi",Summarecon Bekasi, Bekasi,-6.223945,106.9862751,"['Keamanan 24 jam', 'Kolam Renang']",rumah,hos11169103,3,3,136.0,200.0,1,shm - sertifikat hak milik,3500 mah,1,1,2,,,,selatan,1,semi furnished,3500.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
