,price_in_rp
343,4500000000.0
344,1600000000.0
345,6600000000.0
346,1650000000.0
347,800000000.0
348,3500000000.0
349,945000000.0
350,1020000000.0
351,790000000.0
352,2500000000.0
353,5000000000.0
354,2100000000.0
355,1050000000.0
356,1590000000.0
357,551000000.0
358,5500000000.0
359,950000000.0
360,1970000000.0
361,1700000000.0
362,525000000.0
363,875000000.0
364,2540000000.0
365,2220000000.0
366,790000000.0
367,5000000000.0
368,920000000.0
369,1400000000.0
370,1650000000.0
371,1300000000.0
372,651000000.0
373,1220000000.0
374,325000000.0
375,4270000000.0
376,25000000000.0
377,1060000000.0
378,635000000.0
379,400000000.0
380,245000000.0
381,2000000000.0
382,13800000000.0
383,2700000000.0
384,6640000000.0
385,624000000.0
386,1500000000.0
387,466000000.0
388,2960000000.0
389,570000000.0
390,900000000.0
391,530000000.0
392,1470000000.0
393,1560000000.0
394,551000000.0
395,1200000000.0
396,779000000.0
397,8000000000.0
398,3650000000.0
399,1390000000.0
400,1270000000.0
401,1400000000.0
402,4500000000.0
403,17000000000.0
404,679000000.0
405,22000000000.0
406,11000000000.0
407,3900000000.0
408,3600000000.0
409,8050000000.000001
410,1850000000.0
411,1530000000.0
412,14000000000.0
413,655000000.0
414,22000000000.0
415,799000000.0
416,2190000000.0
417,3800000000.0
418,2960000000.0
419,6900000000.0
420,10900000000.0
421,295000000.0
422,1560000000.0
423,2800000000.0
424,1450000000.0
425,546000000.0
426,774000000.0
427,22500000000.0
428,25000000000.0
429,435000000.0
430,3800000000.0
431,950000000.0
432,1020000000.0
433,2220000000.0
434,3150000000.0
435,1300000000.0
436,7500000000.0
437,1600000000.0
438,1950000000.0
439,919000000.0
440,325000000.0
441,355000000.0
442,1200000000.0
443,2700000000.0
444,2000000000.0
445,850000000.0
446,1550000000.0
447,630000000.0
448,392000000.0
449,5990000000.0
450,2800000000.0
451,3500000000.0
452,7000000000.0
453,1440000000.0
454,3500000000.0
455,4800000000.0
456,700000000.0
457,650000000.0
458,520000000.0
459,530000000.0
460,610000000.0
461,8800000000.0
462,10900000000.0
463,879000000.0
464,3830000000.0
465,5200000000.0
466,780000000.0
467,551000000.0
468,780000000.0
469,954000000.0
470,459000000.0
471,3000000000.0
472,7000000000.0
473,690000000.0
474,300000000.0
475,375000000.0
476,875000000.0
477,960000000.0
478,1650000000.0
479,1090000000.0
480,5050000000.0
481,900000000.0
482,1150000000.0
483,1350000000.0
484,11000000000.0
485,14300000000.0
486,2650000000.0
487,725000000.0
488,1060000000.0
489,9000000000.0
490,2950000000.0
491,950000000.0
492,1560000000.0
493,575000000.0
494,559000000.0
495,900000000.0
496,764000000.0
497,5000000000.0
498,4300000000.0
499,16000000000.0
500,1500000000.0
501,440000000.0
502,7900000000.0
503,1300000000.0
504,495000000.0
505,725000000.0
506,12500000000.0
507,500000000.0
508,11000000000.0
509,895000000.0
510,1150000000.0
511,3800000000.0
512,17500000000.0
513,7900000000.0
514,10500000000.0
515,1800000000.0
516,7400000000.0
517,2100000000.0
518,770000000.0
519,14000000000.0
520,3700000000.0
521,3590000000.0
522,168000000.0
523,1350000000.0
524,3990000000.0
525,5700000000.0
526,1140000000.0
527,4000000000.0
528,1100000000.0
529,2550000000.0
530,7100000000.0
531,11800000000.0
532,34000000000.0
533,2750000000.0
534,15500000000.0
535,1250000000.0
536,3000000000.0
537,15000000000.0
538,1600000000.0
539,4000000000.0
540,1850000000.0
541,999000000.0
542,18000000000.0
543,6000000000.0
544,12400000000.0
545,11500000000.0
546,930000000.0
547,500000000.0
548,4200000000.0
549,4440000000.0
550,930000000.0
551,420000000.0
552,890000000.0
553,675000000.0
554,1250000000.0
555,1370000000.0
556,4500000000.0
557,545000000.0
558,12500000000.0
559,995000000.0
560,23000000000.0
561,5000000000.0
562,1710000000.0
563,7800000000.0
564,14500000000.0
565,1900000000.0
566,588000000.0
567,1150000000.0
568,3830000000.0
569,1700000000.0
570,900000000.0
571,2100000000.0
572,630000000.0
573,1580000000.0
574,3190000000.0
575,4300000000.0
576,3200000000.0
577,5950000000.0
578,899000000.0
579,1020000000.0
580,1560000000.0
581,82800000000.0
582,5750000000.0
583,5000000000.0
584,2990000000.0
585,800000000.0
586,1950000000.0
587,418000000.0
588,3200000000.0
589,7000000000.0
590,1020000000.0
591,1020000000.0
592,1400000000.0
593,921000000.0
594,2400000000.0
595,3500000000.0
596,2500000000.0
597,775000000.0
598,5000000000.0
599,1400000000.0
600,13700000000.0
601,2520000000.0
602,4500000000.0
603,779000000.0
604,1080000000.0
605,3800000000.0
606,2350000000.0
607,530000000.0
608,1680000000.0
609,1350000000.0
610,5000000000.0
611,2550000000.0
612,6660000000.0
613,2040000000.0
614,3800000000.0
615,960000000.0
616,10700000000.0
617,1600000000.0
618,18000000000.0
619,680000000.0
620,2900000000.0
621,895000000.0
622,2250000000.0
623,580000000.0
624,651000000.0
625,1060000000.0
626,1100000000.0
627,3150000000.0
628,6940000000.0
629,330000000.0
630,2000000000.0
631,390000000.0
632,1150000000.0
633,1800000000.0
634,516000000.0
635,1300000000.0
636,3500000000.0
637,700000000.0
638,2950000000.0
639,1350000000.0
640,25000000000.0
641,810000000.0
642,260000000.0
643,2300000000.0
644,2800000000.0
645,755000000.0
646,175000000000.0
647,13000000000.0
648,1890000000.0
649,5900000000.0
650,870000000.0
651,1180000000.0
652,1700000000.0
653,1150000000.0
654,1560000000.0
655,999000000.0
656,1400000000.0
657,1250000000.0
658,1580000000.0
659,440000000.0
660,13400000000.0
661,2400000000.0
662,1650000000.0
663,5050000000.0
664,300000000.0
665,3500000000.0
666,755000000.0
667,473000000.0
668,4500000000.0
669,764000000.0
670,774000000.0
671,1060000000.0
672,1270000000.0
673,764000000.0
674,6250000000.0
675,1430000000.0
676,785000000.0
677,2350000000.0
678,2850000000.0
679,810000000.0
680,6200000000.0
681,2400000000.0
682,5000000000.0
683,777000000.0
684,1800000000.0
685,15000000000.0
686,3120000000.0
687,2340000000.0
688,5200000000.0
689,11500000000.0
690,45000000000.0
691,1420000000.0
692,2500000000.0
693,3450000000.0
694,945000000.0
695,26000000000.0
696,2790000000.0
697,850000000.0
698,599000000.0
699,764000000.0
700,23000000000.0
701,1500000000.0
702,2300000000.0
703,1250000000.0
704,807000000.0
705,250000000000.0
706,818000000.0
707,1080000000.0
708,826000000.0
709,500000000.0
710,1900000000.0
711,22500000000.0
712,300000000.0
713,650000000.0
714,1250000000.0
715,2200000000.0
716,800000000.0
717,1200000000.0
718,1150000000.0
719,3600000000.0
720,3150000000.0
721,1500000000.0
722,799000000.0
723,475000000.0
724,390000000.0
725,400000000.0
726,3190000000.0
727,28000000000.0
728,1560000000.0
729,30000000000.0
730,1200000000.0
731,785000000.0
732,917000000.0
733,327000000.0
734,1020000000.0
735,443000000.0
736,1400000000.0
737,480000000.0
738,2040000000.0
739,524000000.0
740,1500000000.0
741,900000000.0
742,12000000000.0
743,525000000.0
744,4850000000.0
745,3500000000.0
746,1300000000.0
747,660000000.0
748,3700000000.0
749,920000000.0
750,1500000000.0
751,1400000000.0
752,530000000.0
753,2600000000.0
754,936000000.0
755,3200000000.0
756,15000000000.0
757,700000000.0
758,1450000000.0
759,899000000.0
760,1500000000.0
761,4900000000.0
762,945000000.0
763,725000000.0
764,750000000.0
765,1370000000.0
766,1020000000.0
767,10000000000.0
768,780000000.0
769,400000000.0
770,2200000000.0
771,499000000.0
772,4400000000.0
773,18500000000.0
774,620000000.0
775,2050000000.0
776,1180000000.0
777,840000000.0
778,1260000000.0
779,1350000000.0
780,535000000.0
781,1450000000.0
782,3100000000.0
783,1590000000.0
784,1650000000.0
785,3600000000.0
786,1600000000.0
787,3500000000.0
788,2250000000.0
789,700000000.0
790,1700000000.0
791,699000000.0
792,21000000000.0
793,14500000000.0
794,18500000000.0
795,2380000000.0
796,688000000.0
797,800000000.0
798,4500000000.0
799,1100000000.0
800,4700000000.0
801,500000000.0
802,496000000.0
803,1650000000.0
804,2300000000.0
805,1680000000.0
806,14000000000.0
807,1050000000.0
808,1100000000.0
809,2190000000.0
810,1490000000.0
811,945000000.0
812,1560000000.0
813,4270000000.0
814,480000000.0
815,2600000000.0
816,779000000.0
817,5800000000.0
818,6930000000.0
819,32000000000.0
820,5400000000.0
821,1320000000.0
822,3120000000.0
823,25000000000.0
824,650000000.0
825,1600000000.0
826,17000000000.0
827,2280000000.0
828,1140000000.0
829,3800000000.0
830,556000000.0
831,2040000000.0
832,750000000.0
833,5360000000.0
834,3200000000.0
835,1060000000.0
836,12000000000.0
837,5000000000.0
838,7500000000.0
839,3830000000.0
840,1000000000.0
841,775000000.0
842,1500000000.0
843,1560000000.0
844,1500000000.0
845,840000000.0
846,1750000000.0
847,945000000.0
848,2850000000.0
849,1200000000.0
850,955000000.0
851,2600000000.0
852,3000000000.0
853,1800000000.0
854,3190000000.0
855,4500000000.0
856,475000000.0
857,699000000.0
858,600000000.0
859,7100000000.0
860,1800000000.0
861,1150000000.0
862,1080000000.0
863,1000000000.0
864,3200000000.0
865,16000000000.0
866,26000000000.0
867,6660000000.0
868,5000000000.0
869,3100000000.0
870,3300000000.0
871,1580000000.0
872,5700000000.0
873,1560000000.0
874,857000000.0
875,22500000000.0
876,3500000000.0
877,45000000000.0
878,14500000000.0
879,370000000.0
880,1150000000.0
881,477000000.0
882,3950000000.0
883,1950000000.0
884,699000000.0
885,501000000.0
886,3200000000.0
887,168000000.0
888,1150000000.0
889,1900000000.0
890,3200000000.0
891,2990000000.0
892,2400000000.0
893,21000000000.0
894,1650000000.0
895,1200000000.0
896,655000000.0
897,774000000.0
898,150000000000.0
899,4800000000.0
900,900000000.0
901,648000000.0
902,2300000000.0
903,35000000000.0
904,3100000000.0
905,2200000000.0
906,800000000.0
907,2700000000.0
908,1400000000.0
909,1970000000.0
910,1350000000.0
911,3120000000.0
912,6000000000.0
913,4500000000.0
914,660000000.0
915,2500000000.0
916,1500000000.0
917,1950000000.0
918,1350000000.0
919,1150000000.0
920,2400000000.0
921,280000000.0
922,525000000.0
923,900000000.0
924,850000000.0
925,770000000.0
926,29000000000.0
927,1000000000.0
928,1900000000.0
929,26000000000.0
930,1050000000.0
931,1850000000.0
932,1150000000.0
933,745000000.0
934,2200000000.0
935,920000000.0
936,1080000000.0
937,799000000.0
938,5100000000.0
939,650000000.0
940,1320000000.0
941,560000000.0
942,810000000.0
943,780000000.0
944,960000000.0
945,2800000000.0
946,960000000.0
947,8900000000.0
948,1100000000.0
949,3250000000.0
950,960000000.0
951,800000000.0
952,1800000000.0
953,1150000000.0
954,562000000.0
955,1680000000.0
956,660000000.0
957,4600000000.0
958,7000000000.0
959,4400000000.0
960,1440000000.0
961,8490000000.0
962,970000000.0
963,9000000000.0
964,650000000.0
965,1440000000.0
966,18000000000.0
967,2750000000.0
968,1680000000.0
969,1550000000.0
970,595000000.0
971,699000000.0
972,500000000.0
973,660000000.0
974,1750000000.0
975,440000000.0
976,9000000000.0
977,3200000000.0
978,1040000000.0
979,2300000000.0
980,650000000.0
981,1410000000.0
982,750000000.0
983,5050000000.0
984,450000000.0
985,409000000.0
986,950000000.0
987,3200000000.0
988,600000000.0
989,1050000000.0
990,545000000.0
991,1400000000.0
992,14500000000.0
993,3160000000.0
994,4200000000.0
995,440000000.0
996,849000000.0
997,1200000000.0
998,2900000000.0
999,1600000000.0
1000,2450000000.0
1001,3250000000.0
1002,4200000000.0
1003,13000000000.0
1004,1170000000.0
1005,8500000000.0
1006,225000000.0
1007,350000000.0
1008,2400000000.0
1009,4600000000.0
1010,3000000000.0
1011,959000000.0
1012,1800000000.0
1013,1800000000.0
1014,5860000000.0
1015,2690000000.0
1016,1500000000.0
1017,550000000.0
1018,400000000.0
1019,338000000.0
1020,975000000.0
1021,26000000000.0
1022,3120000000.0
1023,800000000.0
1024,975000000.0
1025,1530000000.0
1026,5860000000.0
1027,660000000.0
1028,785000000.0
1029,930000000.0
1030,550000000.0
1031,3190000000.0
1032,2040000000.0
1033,2040000000.0
1034,4350000000.0
1035,5500000000.0
1036,888000000.0
1037,550000000.0
1038,650000000.0
1039,2600000000.0
1040,1100000000.0
1041,960000000.0
1042,2000000000.0
1043,3800000000.0
1044,1800000000.0
1045,400000000.0
1046,870000000.0
1047,755000000.0
1048,764000000.0
1049,1980000000.0
1050,4000000000.0
1051,1680000000.0
1052,1950000000.0
1053,625000000.0
1054,1300000000.0
1055,949000000.0
1056,3830000000.0
1057,50000000000.0
1058,1900000000.0
1059,1400000000.0
1060,4150000000.000001
1061,1590000000.0
1062,630000000.0
1063,950000000.0
1064,568000000.0
1065,1980000000.0
1066,280000000.0
1067,6650000000.0
1068,650000000.0
1069,3300000000.0
1070,655000000.0
1071,1900000000.0
1072,2900000000.0
1073,1180000000.0
1074,1200000000.0
1075,2500000000.0
1076,4890000000.0
1077,3500000000.0
1078,2800000000.0
1079,1300000000.0
1080,660000000.0
1081,12500000000.0
1082,12500000000.0
1083,1590000000.0
1084,900000000.0
1085,875000000.0
1086,25000000000.0
1087,1200000000.0
1088,385000000.0
1089,3830000000.0
1090,3500000000.0
1091,1370000000.0
1092,1200000000.0
1093,4500000000.0
1094,3700000000.0
1095,1200000000.0
1096,908000000.0
1097,1480000000.0
1098,10200000000.0
1099,1350000000.0
1100,1350000000.0
1101,25000000000.0
1102,45000000000.0
1103,2040000000.0
1104,5200000000.0
1105,4000000000.0
1106,2200000000.0
1107,1600000000.0
1108,3390000000.0
1109,4100000000.0
1110,950000000.0
1111,1100000000.0
1112,700000000.0
1113,570000000.0
1114,1400000000.0
1115,2500000000.0
1116,615000000.0
1117,2770000000.0
1118,2750000000.0
1119,975000000.0
1120,4000000000.0
1121,550000000.0
1122,5400000000.0
1123,6800000000.0
1124,1050000000.0
1125,3190000000.0
1126,3600000000.0
1127,3840000000.0
1128,5860000000.0
1129,600000000.0
1130,800000000.0
1131,780000000.0
1132,3300000000.0
1133,2550000000.0
1134,3000000000.0
1135,799000000.0
1136,3600000000.0
1137,2750000000.0
1138,1350000000.0
1139,1100000000.0
1140,15000000000.0
1141,960000000.0
1142,6750000000.0
1143,4200000000.0
1144,850000000.0
1145,4040000000.0
1146,2350000000.0
1147,775000000.0
1148,4440000000.0
1149,680000000.0
1150,3300000000.0
1151,1650000000.0
1152,2770000000.0
1153,730000000.0
1154,2700000000.0
1155,1130000000.0
1156,230000000.0
1157,685000000.0
1158,2040000000.0
1159,1800000000.0
1160,1500000000.0
1161,960000000.0
1162,2790000000.0
1163,3000000000.0
1164,3550000000.0
1165,799000000.0
1166,1500000000.0
1167,8500000000.0
1168,3900000000.0
1169,250000000.0
1170,4800000000.0
1171,20000000000.0
1172,14500000000.0
1173,945000000.0
1174,1350000000.0
1175,7500000000.0
1176,4400000000.0
1177,3550000000.0
1178,1700000000.0
1179,13900000000.0
1180,1300000000.0
1181,1950000000.0
1182,968000000.0
1183,1960000000.0
1184,1650000000.0
1185,764000000.0
1186,1300000000.0
1187,3000000000.0
1188,1150000000.0
1189,2100000000.0
1190,930000000.0
1191,800000000.0
1192,2400000000.0
1193,4100000000.0
1194,685000000.0
1195,1990000000.0
1196,3300000000.0
1197,28000000000.0
1198,800000000.0
1199,1400000000.0
1200,330000000.0
1201,1080000000.0
1202,780000000.0
1203,780000000.0
1204,8000000000.0
1205,2600000000.0
1206,15500000000.0
1207,24900000000.0
1208,2040000000.0
1209,1450000000.0
1210,900000000.0
1211,2000000000.0
1212,900000000.0
1213,900000000.0
1214,2650000000.0
1215,1080000000.0
1216,3800000000.0
1217,2400000000.0
1218,1800000000.0
1219,3850000000.0
1220,434000000.0
1221,3750000000.0
1222,959000000.0
1223,1560000000.0
1224,1680000000.0
1225,1250000000.0
1226,1350000000.0
1227,12400000000.0
1228,1250000000.0
1229,1620000000.0
1230,1200000000.0
1231,1800000000.0
1232,780000000.0
1233,476000000.0
1234,764000000.0
1235,754000000.0
1236,4500000000.0
1237,1020000000.0
1238,1650000000.0
1239,4750000000.0
1240,651000000.0
1241,500000000.0
1242,9750000000.0
1243,2850000000.0
1244,885000000.0
1245,1860000000.0
1246,1600000000.0
1247,450000000.0
1248,1400000000.0
1249,408000000.0
1250,590000000.0
1251,2500000000.0
1252,11200000000.0
1253,2200000000.0
1254,17000000000.0
1255,764000000.0
1256,595000000.0
1257,1200000000.0
1258,467000000.0
1259,1020000000.0
1260,630000000.0
1261,1150000000.0
1262,2900000000.0
1263,1350000000.0
1264,6000000000.0
1265,2750000000.0
1266,3500000000.0
1267,1350000000.0
1268,3800000000.0
1269,7800000000.0
1270,3750000000.0
1271,25000000000.0
1272,1950000000.0
1273,1380000000.0
1274,3500000000.0
1275,1200000000.0
1276,27000000000.0
1277,350000000.0
1278,2500000000.0
1279,9500000000.0
1280,6500000000.0
1281,2800000000.0
1282,1500000000.0
1283,2280000000.0
1284,7700000000.0
1285,1600000000.0
1286,25000000000.0
1287,1260000000.0
1288,750000000.0
1289,4700000000.0
1290,1900000000.0
1291,800000000.0
1292,700000000.0
1293,1870000000.0
1294,750000000.0
1295,607000000.0
1296,782000000.0
1297,5250000000.0
1298,285000000.0
1299,900000000.0
1300,2300000000.0
1301,1200000000.0
1302,875000000.0
1303,1250000000.0
1304,300000000.0
1305,250000000.0
1306,425000000.0
1307,1440000000.0
1308,2500000000.0
1309,775000000.0
1310,675000000.0
1311,3400000000.0
1312,1380000000.0
1313,7500000000.0
1314,800000000.0
1315,5500000000.0
1316,8750000000.0
1317,1800000000.0
1318,625000000.0
1319,1350000000.0
1320,1280000000.0
1321,4900000000.0
1322,19500000000.0
1323,1420000000.0
1324,3550000000.0
1325,1070000000.0
1326,1350000000.0
1327,475000000.0
1328,4100000000.0
1329,3500000000.0
1330,1600000000.0
1331,900000000.0
1332,970000000.0
1333,1450000000.0
1334,2280000000.0
1335,1400000000.0
1336,3500000000.0
1337,1500000000.0
1338,4000000000.0
1339,889000000.0
1340,950000000.0
1341,1000000000.0
1342,700000000.0
1343,85000000000.0
1344,569000000.0
1345,50000000000.0
1346,3900000000.0
1347,2000000000.0
1348,3200000000.0
1349,460000000.0
1350,7000000000.0
1351,108000000000.0
1352,475000000.0
1353,952000000.0
1354,3000000000.0
1355,1170000000.0
1356,7500000000.0
1357,785000000.0
1358,1260000000.0
1359,17000000000.0
1360,1440000000.0
1361,2400000000.0
1362,1530000000.0
1363,835000000.0
1364,7000000000.0
1365,2050000000.0
1366,168000000.0
1367,2500000000.0
1368,960000000.0
1369,1350000000.0
1370,4700000000.0
1371,2400000000.0
1372,476000000.0
1373,800000000.0
1374,8300000000.000001
1375,6850000000.0
1376,1800000000.0
1377,660000000.0
1378,5900000000.0
1379,975000000.0
1380,23000000000.0
1381,1670000000.0
1382,5500000000.0
1383,5500000000.0
1384,2280000000.0
1385,400000000.0
1386,2700000000.0
1387,1400000000.0
1388,1000000000.0
1389,2650000000.0
1390,930000000.0
1391,3830000000.0
1392,3500000000.0
1393,3550000000.0
1394,1470000000.0
1395,485000000.0
1396,400000000.0
1397,1400000000.0
1398,1800000000.0
1399,940000000.0
1400,1950000000.0
1401,2280000000.0
1402,17000000000.0
1403,4500000000.0
1404,2700000000.0
1405,494000000.0
1406,2900000000.0
1407,7500000000.0
1408,2340000000.0
1409,2550000000.0
1410,2500000000.0
1411,465000000.0
1412,999000000.0
1413,800000000.0
1414,1980000000.0
1415,1100000000.0
1416,19000000000.0
1417,250000000.0
1418,2900000000.0
1419,1500000000.0
1420,853000000.0
1421,3950000000.0
1422,995000000.0
1423,600000000.0
1424,840000000.0
1425,510000000.0
1426,1180000000.0
1427,796000000.0
1428,750000000.0
1429,3720000000.0
1430,7500000000.0
1431,4950000000.0
1432,375000000.0
1433,18000000000.0
1434,1960000000.0
1435,1440000000.0
1436,700000000.0
1437,530000000.0
1438,1700000000.0
1439,2500000000.0
1440,1060000000.0
1441,889000000.0
1442,1300000000.0
1443,755000000.0
1444,628000000.0
1445,1400000000.0
1446,800000000.0
1447,325000000.0
1448,1500000000.0
1449,600000000.0
1450,5050000000.0
1451,600000000.0
1452,3650000000.0
1453,2550000000.0
1454,5000000000.0
1455,3200000000.0
1456,2280000000.0
1457,1350000000.0
1458,12000000000.0
1459,195000000.0
1460,5000000000.0
1461,1500000000.0
1462,550000000.0
1463,3300000000.0
1464,2300000000.0
1465,13000000000.0
1466,695000000.0
1467,950000000.0
1468,1720000000.0
1469,1700000000.0
1470,1200000000.0
1471,13500000000.0
1472,1350000000.0
1473,1230000000.0
1474,2650000000.0
1475,7000000000.0
1476,950000000.0
1477,5000000000.0
1478,3300000000.0
1479,2400000000.0
1480,1350000000.0
1481,1250000000.0
1482,780000000.0
1483,2600000000.0
1484,265000000.0
1485,799000000.0
1486,660000000.0
1487,14500000000.0
1488,2600000000.0
1489,2040000000.0
1490,798000000.0
1491,1000000000.0
1492,1000000000.0
1493,1440000000.0
1494,6500000000.0
1495,1350000000.0
1496,14000000000.0
1497,2150000000.0
1498,699000000.0
1499,1350000000.0
1500,5270000000.0
1501,300000000.0
1502,1680000000.0
1503,575000000.0
1504,1430000000.0
1505,1500000000.0
1506,3830000000.0
1507,5000000000.0
1508,901000000.0
1509,1040000000.0
1510,785000000.0
1511,780000000.0
1512,1610000000.0
1513,4700000000.0
1514,2250000000.0
1515,3350000000.0
1516,3600000000.0
1517,2350000000.0
1518,2200000000.0
1519,495000000.0
1520,3800000000.0
1521,2300000000.0
1522,2500000000.0
1523,400000000.0
1524,4900000000.0
1525,2300000000.0
1526,300000000.0
1527,780000000.0
1528,919000000.0
1529,1100000000.0
1530,2000000000.0
1531,1620000000.0
1532,500000000.0
1533,2700000000.0
1534,1150000000.0
1535,3000000000.0
1536,950000000.0
1537,1800000000.0
1538,1370000000.0
1539,900000000.0
1540,1080000000.0
1541,1300000000.0
1542,3000000000.0
1543,1060000000.0
1544,20900000000.0
1545,1020000000.0
