,certificate,property_condition,furnishing,city,lat,long,bedrooms,bathrooms,land_size_m2,building_size_m2,carports,maid_bedrooms,maid_bathrooms,floors,garages,electricity_num,fac_tempat_jemuran,fac_jalur_telepon,fac_jogging_track,fac_kolam_renang,fac_masjid,fac_keamanan,fac_cctv,fac_kitchen_set,fac_one_gate_system,fac_akses_parkir,fac_playground,fac_wastafel,fac_ac,fac_lapangan_basket,fac_tempat_gym,fac_kolam_ikan,fac_lapangan_voli,fac_lapangan_tenis,fac_lapangan_bola,fac_mesin_cuci,fac_lapangan_bulu_tangkis,fac_kulkas,fac_garden,fac_water_heater,fac_canopy,fac_smart_home,fac_backyard_luas,fac_garasi,fac_balkon,fac_pompa_air_wasser_dan_booster,fac_kompor_exhaust,fac_basement,fac_gudang,fac_clubhouse,fac_service_area,fac_plumbing_system
18,shm - sertifikat hak milik,bagus,unfurnished, Depok,-6.4281714,106.8368844,2.0,1.0,86.0,50.0,0,0,0,1.0,1,1300.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,shm - sertifikat hak milik,bagus,unfurnished, Bogor,-6.4014935,106.9279365,2.0,2.0,60.0,48.0,1,0,0,1.0,1,2200.0,0,1,1,0,1,1,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,shm - sertifikat hak milik,bagus,unfurnished, Depok,-6.3994989,106.7358134,2.0,1.0,108.0,90.0,1,0,0,1.0,1,1300.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,shm - sertifikat hak milik,bagus,unfurnished, Depok,-6.3994989,106.7358134,3.0,1.0,81.0,81.0,1,1,0,1.0,1,1300.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,shm - sertifikat hak milik,baru,unfurnished, Depok,-6.4281714,106.8368844,3.0,2.0,66.0,56.0,2,0,0,2.0,2,2200.0,0,1,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,shm - sertifikat hak milik,bagus,unfurnished, Tangerang,-6.2433511,106.6174456,3.0,2.0,90.0,65.0,1,0,0,2.0,0,2200.0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,shm - sertifikat hak milik,bagus,unfurnished, Jakarta Selatan,-6.2606016,106.7850263,4.0,3.0,208.0,250.0,0,1,1,2.0,0,3300.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,shm - sertifikat hak milik,bagus,unfurnished, Jakarta Pusat,-6.1627705,106.859259,2.0,2.0,22.0,40.0,0,0,0,2.0,0,2200.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,shm - sertifikat hak milik,sudah renovasi,unfurnished, Bekasi,-6.3102779,106.9565924,4.0,4.0,300.0,250.0,0,0,0,2.0,1,4400.0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,hgb - hak guna bangunan,bagus,unfurnished, Bekasi,-6.223945,106.9862751,3.0,3.0,193.0,136.0,1,1,1,3.0,1,3500.0,1,1,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,shm - sertifikat hak milik,butuh renovasi,unfurnished, Bogor,-6.5183495,106.8512789,5.0,4.0,120.0,150.0,0,0,0,2.0,0,1300.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
